jid,shear_modulus_gv,target,num_atoms
JVASP-100621,11.42,11.42,10
JVASP-100622,81.26,81.26,9
JVASP-100629,17.24,17.24,10
JVASP-100633,24.14,24.14,8
JVASP-100634,109.16,109.16,8
JVASP-100637,120.04,120.04,4
JVASP-100639,130.4,130.4,9
JVASP-10064,120.55,120.55,12
JVASP-100640,36.18,36.18,7
JVASP-100643,36.54,36.54,5
JVASP-100645,82.84,82.84,8
JVASP-100649,113.97,113.97,8
JVASP-100650,59.61,59.61,8
JVASP-100657,48.88,48.88,7
JVASP-10066,109.27,109.27,12
JVASP-100663,99.84,99.84,6
JVASP-100664,77.56,77.56,5
JVASP-100665,21.41,21.41,10
JVASP-100667,21.09,21.09,6
JVASP-100668,44.09,44.09,3
JVASP-100670,52.49,52.49,8
JVASP-10073,75.54,75.54,10
JVASP-10074,53.01,53.01,12
JVASP-10075,41.71,41.71,16
JVASP-10076,113.23,113.23,10
JVASP-100776,75.46,75.46,5
JVASP-10079,70.89,70.89,11
JVASP-100794,55.61,55.61,6
JVASP-1008,19.74,19.74,2
JVASP-10080,67.4,67.4,11
JVASP-100817,20.98,20.98,4
JVASP-10083,19.24,19.24,16
JVASP-100835,38.89,38.89,4
JVASP-10085,22.38,22.38,18
JVASP-100855,-5.26,-5.26,2
JVASP-100859,76.83,76.83,6
JVASP-10086,61.3,61.3,16
JVASP-10087,5.3,5.3,12
JVASP-100874,7.81,7.81,6
JVASP-10088,14.71,14.71,11
JVASP-10089,68.17,68.17,12
JVASP-10094,41.66,41.66,14
JVASP-10095,75.35,75.35,11
JVASP-100959,7.33,7.33,4
JVASP-100962,26.07,26.07,3
JVASP-100969,41.92,41.92,4
JVASP-10097,13.57,13.57,12
JVASP-100999,26.31,26.31,6
JVASP-101,70.85,70.85,10
JVASP-101001,45.21,45.21,4
JVASP-101004,6.4,6.4,4
JVASP-101005,-2.12,-2.12,8
JVASP-10101,25.94,25.94,12
JVASP-101011,5.44,5.44,4
JVASP-10102,70.69,70.69,15
JVASP-101027,2.18,2.18,4
JVASP-101034,60.64,60.64,4
JVASP-101035,-18.09,-18.09,4
JVASP-10104,84.5,84.5,10
JVASP-10105,20.17,20.17,14
JVASP-101060,34.64,34.64,5
JVASP-10107,9.87,9.87,12
JVASP-10108,71.51,71.51,10
JVASP-101080,35.07,35.07,7
JVASP-101099,92.21,92.21,8
JVASP-101104,27.95,27.95,4
JVASP-101119,4.51,4.51,4
JVASP-10112,47.57,47.57,12
JVASP-101121,47.94,47.94,4
JVASP-101122,97.93,97.93,7
JVASP-101160,19.28,19.28,2
JVASP-101161,50.36,50.36,4
JVASP-101162,35.28,35.28,4
JVASP-101163,27.73,27.73,4
JVASP-101164,41.6,41.6,4
JVASP-101169,3.33,3.33,8
JVASP-10117,19.76,19.76,12
JVASP-10118,21.59,21.59,12
JVASP-101187,10.51,10.51,4
JVASP-10120,20.15,20.15,12
JVASP-10121,51.13,51.13,16
JVASP-101212,27.4,27.4,3
JVASP-101216,-12.18,-12.18,4
JVASP-10122,14.9,14.9,16
JVASP-101226,115.93,115.93,6
JVASP-101227,28.14,28.14,4
JVASP-10123,11.8,11.8,16
JVASP-10124,6.0,6.0,16
JVASP-10125,10.05,10.05,10
JVASP-10126,9.94,9.94,10
JVASP-101264,-4.7,-4.7,8
JVASP-101267,3.95,3.95,2
JVASP-10128,15.79,15.79,12
JVASP-10130,15.63,15.63,14
JVASP-10131,14.31,14.31,14
JVASP-10132,24.47,24.47,12
JVASP-10134,50.04,50.04,10
JVASP-101345,-0.0,-0.0,24
JVASP-101367,17.36,17.36,16
JVASP-101368,41.77,41.77,14
JVASP-10137,35.11,35.11,18
JVASP-10138,15.11,15.11,10
JVASP-101382,11.24,11.24,10
JVASP-101383,6.58,6.58,10
JVASP-101389,15.94,15.94,4
JVASP-10139,19.05,19.05,14
JVASP-101391,24.56,24.56,4
JVASP-101398,28.62,28.62,4
JVASP-1014,58.14,58.14,1
JVASP-10140,55.8,55.8,12
JVASP-101400,20.47,20.47,4
JVASP-101401,19.56,19.56,4
JVASP-101405,21.84,21.84,4
JVASP-10141,12.36,12.36,14
JVASP-101411,24.66,24.66,4
JVASP-101415,26.48,26.48,4
JVASP-101417,15.44,15.44,4
JVASP-101425,40.09,40.09,9
JVASP-101426,66.97,66.97,6
JVASP-101427,48.15,48.15,8
JVASP-101428,110.36,110.36,4
JVASP-10143,118.42,118.42,12
JVASP-101430,35.05,35.05,6
JVASP-101433,66.41,66.41,3
JVASP-101439,72.62,72.62,5
JVASP-10144,62.39,62.39,12
JVASP-101441,88.05,88.05,8
JVASP-101442,14.96,14.96,4
JVASP-101449,22.58,22.58,6
JVASP-10145,33.24,33.24,18
JVASP-101458,41.97,41.97,4
JVASP-10146,80.47,80.47,10
JVASP-101464,0.07,0.07,5
JVASP-10147,21.07,21.07,12
JVASP-101472,13.57,13.57,8
JVASP-101478,10.9,10.9,4
JVASP-10148,10.14,10.14,10
JVASP-10149,13.67,13.67,12
JVASP-10150,15.72,15.72,12
JVASP-10151,0.92,0.92,12
JVASP-10152,10.63,10.63,14
JVASP-10153,12.05,12.05,10
JVASP-101537,8.33,8.33,8
JVASP-10154,11.64,11.64,10
JVASP-10155,36.56,36.56,16
JVASP-101556,22.36,22.36,4
JVASP-10156,76.77,76.77,12
JVASP-101564,27.42,27.42,4
JVASP-101566,12.9,12.9,4
JVASP-10157,33.17,33.17,12
JVASP-101574,16.93,16.93,4
JVASP-101575,17.49,17.49,4
JVASP-10158,58.02,58.02,10
JVASP-101580,-3.92,-3.92,4
JVASP-101586,60.48,60.48,4
JVASP-101590,28.72,28.72,6
JVASP-101611,73.58,73.58,4
JVASP-101623,6.6,6.6,4
JVASP-101626,1.67,1.67,4
JVASP-10164,31.6,31.6,14
JVASP-101643,30.83,30.83,5
JVASP-10167,32.43,32.43,14
JVASP-10168,30.42,30.42,14
JVASP-10170,30.57,30.57,14
JVASP-101704,2.85,2.85,4
JVASP-10171,32.7,32.7,14
JVASP-101712,12.83,12.83,4
JVASP-101726,31.55,31.55,4
JVASP-101737,23.64,23.64,2
JVASP-10174,28.33,28.33,12
JVASP-10175,64.29,64.29,16
JVASP-101751,14.77,14.77,4
JVASP-101768,48.41,48.41,6
JVASP-10177,27.31,27.31,12
JVASP-10180,69.25,69.25,16
JVASP-101802,26.87,26.87,13
JVASP-10181,26.64,26.64,12
JVASP-10184,34.1,34.1,10
JVASP-101850,33.37,33.37,14
JVASP-10187,39.62,39.62,16
JVASP-101876,12.51,12.51,15
JVASP-10188,30.06,30.06,10
JVASP-101885,24.76,24.76,14
JVASP-10189,16.57,16.57,12
JVASP-101929,40.93,40.93,20
JVASP-10193,9.78,9.78,16
JVASP-10194,32.43,32.43,12
JVASP-10195,63.81,63.81,15
JVASP-10196,119.38,119.38,14
JVASP-10197,89.1,89.1,10
JVASP-10199,57.64,57.64,10
JVASP-1020,139.21,139.21,2
JVASP-10203,19.33,19.33,18
JVASP-10204,39.98,39.98,10
JVASP-10205,32.75,32.75,14
JVASP-102054,4.84,4.84,10
JVASP-102056,60.76,60.76,3
JVASP-10206,75.97,75.97,10
JVASP-102060,11.96,11.96,10
JVASP-102064,7.3,7.3,10
JVASP-102067,22.19,22.19,5
JVASP-102082,15.86,15.86,10
JVASP-102083,25.52,25.52,10
JVASP-102087,14.5,14.5,10
JVASP-102088,16.26,16.26,10
JVASP-10209,13.65,13.65,10
JVASP-102090,-5.12,-5.12,10
JVASP-102093,8.8,8.8,10
JVASP-102094,10.66,10.66,10
JVASP-102098,104.99,104.99,6
JVASP-102099,23.3,23.3,7
JVASP-102106,9.88,9.88,4
JVASP-102107,29.04,29.04,4
JVASP-102108,19.86,19.86,4
JVASP-10211,33.58,33.58,12
JVASP-102112,34.1,34.1,4
JVASP-102120,-5.58,-5.58,4
JVASP-102123,21.56,21.56,4
JVASP-102124,5.54,5.54,4
JVASP-102127,28.27,28.27,2
JVASP-102128,6.51,6.51,3
JVASP-10213,43.53,43.53,16
JVASP-102134,33.88,33.88,4
JVASP-10214,15.53,15.53,10
JVASP-102141,31.25,31.25,10
JVASP-102146,29.97,29.97,6
JVASP-102148,28.28,28.28,4
JVASP-10215,10.33,10.33,12
JVASP-102159,80.94,80.94,10
JVASP-10216,30.55,30.55,12
JVASP-102161,103.68,103.68,6
JVASP-102169,40.24,40.24,6
JVASP-102171,56.42,56.42,6
JVASP-102174,46.38,46.38,5
JVASP-102175,42.14,42.14,7
JVASP-102178,7.87,7.87,9
JVASP-102180,94.42,94.42,10
JVASP-102186,25.2,25.2,3
JVASP-102187,50.82,50.82,6
JVASP-102189,57.96,57.96,6
JVASP-10219,17.13,17.13,18
JVASP-102198,12.57,12.57,10
JVASP-10220,77.67,77.67,10
JVASP-102203,12.34,12.34,5
JVASP-102213,43.76,43.76,6
JVASP-102215,77.85,77.85,10
JVASP-102219,5.33,5.33,4
JVASP-10222,75.91,75.91,10
JVASP-102224,22.5,22.5,8
JVASP-102227,25.11,25.11,7
JVASP-10223,147.3,147.3,10
JVASP-102230,80.09,80.09,8
JVASP-102233,29.57,29.57,8
JVASP-102235,61.36,61.36,8
JVASP-10224,44.9,44.9,18
JVASP-102247,73.33,73.33,3
JVASP-10225,15.71,15.71,10
JVASP-102251,21.99,21.99,5
JVASP-102253,24.94,24.94,7
JVASP-10226,10.9,10.9,12
JVASP-102283,16.89,16.89,4
JVASP-102284,14.62,14.62,4
JVASP-10229,15.13,15.13,10
JVASP-1023,21.11,21.11,3
JVASP-10230,10.93,10.93,10
JVASP-10231,22.85,22.85,14
JVASP-102320,2.29,2.29,5
JVASP-102325,-3.64,-3.64,5
JVASP-102349,129.03,129.03,10
JVASP-10239,19.65,19.65,16
JVASP-10240,27.53,27.53,14
JVASP-10242,9.4,9.4,16
JVASP-10244,19.47,19.47,14
JVASP-102445,49.06,49.06,4
JVASP-102446,15.77,15.77,4
JVASP-10246,22.17,22.17,14
JVASP-102461,13.97,13.97,4
JVASP-102466,25.6,25.6,4
JVASP-10248,26.08,26.08,18
JVASP-102480,19.85,19.85,4
JVASP-102481,-18.09,-18.09,4
JVASP-102483,12.75,12.75,4
JVASP-10249,29.48,29.48,12
JVASP-102495,80.61,80.61,4
JVASP-10250,7.49,7.49,18
JVASP-10251,13.14,13.14,12
JVASP-102516,18.29,18.29,4
JVASP-102524,4.96,4.96,4
JVASP-102525,7.99,7.99,4
JVASP-10253,8.83,8.83,10
JVASP-102530,22.5,22.5,4
JVASP-10254,60.57,60.57,18
JVASP-10256,14.76,14.76,12
JVASP-102572,-17.11,-17.11,8
JVASP-102574,18.29,18.29,4
JVASP-102575,16.64,16.64,4
JVASP-10258,12.85,12.85,12
JVASP-102586,7.34,7.34,4
JVASP-10259,43.87,43.87,13
JVASP-10260,65.17,65.17,15
JVASP-10262,157.5,157.5,12
JVASP-102632,77.4,77.4,5
JVASP-10264,87.92,87.92,12
JVASP-102643,29.7,29.7,4
JVASP-102649,22.85,22.85,4
JVASP-102653,4.79,4.79,6
JVASP-10267,7.57,7.57,16
JVASP-102689,41.43,41.43,3
JVASP-102707,38.55,38.55,6
JVASP-102715,12.63,12.63,4
JVASP-102716,32.67,32.67,4
JVASP-102717,13.77,13.77,4
JVASP-102718,51.22,51.22,4
JVASP-102723,17.57,17.57,4
JVASP-102743,-2.11,-2.11,5
JVASP-102751,15.68,15.68,4
JVASP-102756,17.16,17.16,4
JVASP-102802,69.06,69.06,8
JVASP-102804,24.42,24.42,7
JVASP-102805,171.61,171.61,6
JVASP-102813,216.67,216.67,6
JVASP-10284,15.96,15.96,10
JVASP-102854,16.97,16.97,2
JVASP-102855,21.77,21.77,8
JVASP-102856,25.42,25.42,10
JVASP-102858,13.88,13.88,10
JVASP-102861,13.48,13.48,10
JVASP-102864,25.28,25.28,10
JVASP-102866,13.9,13.9,10
JVASP-102867,8.6,8.6,10
JVASP-102873,-10.58,-10.58,10
JVASP-102876,17.28,17.28,10
JVASP-102888,-12.92,-12.92,10
JVASP-1029,56.9,56.9,3
JVASP-102903,6.28,6.28,10
JVASP-102907,58.61,58.61,8
JVASP-102909,0.59,0.59,5
JVASP-102918,14.82,14.82,4
JVASP-102919,124.2,124.2,4
JVASP-102920,3.78,3.78,5
JVASP-102927,20.3,20.3,4
JVASP-102928,25.64,25.64,4
JVASP-102933,96.16,96.16,4
JVASP-102938,18.74,18.74,4
JVASP-10294,25.46,25.46,14
JVASP-102942,26.0,26.0,4
JVASP-102943,41.28,41.28,4
JVASP-102954,34.42,34.42,4
JVASP-102956,47.58,47.58,4
JVASP-102964,12.83,12.83,4
JVASP-102966,12.83,12.83,4
JVASP-102967,16.43,16.43,2
JVASP-102973,11.45,11.45,4
JVASP-102977,0.0,0.0,4
JVASP-102983,15.05,15.05,2
JVASP-102985,21.78,21.78,5
JVASP-102986,26.58,26.58,4
JVASP-102988,0.0,0.0,8
JVASP-103015,33.76,33.76,10
JVASP-103016,17.12,17.12,4
JVASP-103018,51.34,51.34,9
JVASP-103023,5.03,5.03,6
JVASP-103025,28.89,28.89,2
JVASP-103028,36.79,36.79,4
JVASP-103033,45.02,45.02,4
JVASP-103040,38.98,38.98,6
JVASP-103047,-0.41,-0.41,4
JVASP-103049,172.75,172.75,7
JVASP-103056,52.06,52.06,6
JVASP-103065,25.07,25.07,10
JVASP-103068,20.38,20.38,4
JVASP-103078,40.25,40.25,4
JVASP-10308,79.63,79.63,14
JVASP-103083,36.52,36.52,10
JVASP-103084,18.57,18.57,2
JVASP-103091,3.12,3.12,4
JVASP-103094,44.58,44.58,4
JVASP-103113,64.33,64.33,5
JVASP-103115,9.14,9.14,8
JVASP-103120,146.62,146.62,6
JVASP-103121,46.87,46.87,7
JVASP-103126,60.36,60.36,10
JVASP-103134,136.11,136.11,6
JVASP-103135,104.75,104.75,7
JVASP-103137,32.99,32.99,6
JVASP-103139,0.11,0.11,4
JVASP-103142,52.29,52.29,8
JVASP-103148,45.01,45.01,10
JVASP-103168,-2.96,-2.96,10
JVASP-10317,43.59,43.59,16
JVASP-103174,1.02,1.02,10
JVASP-103192,6.0,6.0,10
JVASP-103195,8.62,8.62,10
JVASP-10321,35.06,35.06,16
JVASP-103210,20.9,20.9,10
JVASP-103216,10.59,10.59,6
JVASP-103218,31.08,31.08,9
JVASP-103220,19.12,19.12,4
JVASP-103222,135.34,135.34,5
JVASP-103225,100.1,100.1,5
JVASP-103226,100.1,100.1,4
JVASP-103229,7.11,7.11,4
JVASP-103255,8.6,8.6,4
JVASP-103256,20.15,20.15,4
JVASP-103257,0.0,0.0,8
JVASP-103265,31.22,31.22,4
JVASP-103277,2.07,2.07,4
JVASP-103278,93.82,93.82,4
JVASP-103280,19.91,19.91,4
JVASP-103289,20.74,20.74,1
JVASP-103295,33.09,33.09,2
JVASP-103312,17.29,17.29,4
JVASP-103314,0.0,0.0,8
JVASP-10332,31.81,31.81,16
JVASP-103320,10.93,10.93,4
JVASP-103321,10.93,10.93,4
JVASP-103325,28.38,28.38,4
JVASP-103348,42.37,42.37,9
JVASP-103349,11.8,11.8,10
JVASP-10335,19.33,19.33,16
JVASP-103351,69.78,69.78,10
JVASP-103355,37.19,37.19,4
JVASP-103358,18.25,18.25,10
JVASP-103366,40.18,40.18,5
JVASP-103370,64.93,64.93,5
JVASP-103371,88.14,88.14,10
JVASP-103375,20.22,20.22,4
JVASP-103383,165.19,165.19,4
JVASP-103392,60.6,60.6,6
JVASP-103400,0.0,0.0,2
JVASP-103401,89.14,89.14,8
JVASP-103402,21.48,21.48,4
JVASP-103403,25.19,25.19,6
JVASP-103404,0.0,0.0,8
JVASP-103406,38.57,38.57,4
JVASP-103427,0.47,0.47,10
JVASP-103434,16.57,16.57,3
JVASP-103443,27.64,27.64,6
JVASP-103444,34.14,34.14,7
JVASP-103445,13.51,13.51,6
JVASP-103449,69.01,69.01,2
JVASP-103451,19.48,19.48,4
JVASP-103458,42.52,42.52,4
JVASP-103461,24.53,24.53,4
JVASP-103485,103.61,103.61,3
JVASP-103490,0.36,0.36,4
JVASP-103496,83.62,83.62,9
JVASP-1035,30.29,30.29,2
JVASP-103506,14.11,14.11,8
JVASP-10351,0.52,0.52,19
JVASP-103521,112.25,112.25,4
JVASP-10353,29.14,29.14,16
JVASP-103538,42.76,42.76,6
JVASP-10354,31.09,31.09,14
JVASP-103541,0.12,0.12,9
JVASP-103552,-0.4,-0.4,6
JVASP-103553,10.53,10.53,6
JVASP-103585,4.09,4.09,4
JVASP-10360,39.47,39.47,14
JVASP-103609,6.1,6.1,4
JVASP-10362,23.03,23.03,14
JVASP-103628,21.76,21.76,4
JVASP-103651,34.74,34.74,6
JVASP-103659,26.81,26.81,3
JVASP-103668,39.09,39.09,6
JVASP-103670,27.97,27.97,4
JVASP-103684,47.37,47.37,3
JVASP-103702,-7.61,-7.61,4
JVASP-103703,16.69,16.69,4
JVASP-103715,23.16,23.16,3
JVASP-103723,-7.37,-7.37,3
JVASP-103736,45.8,45.8,5
JVASP-103737,36.1,36.1,5
JVASP-103746,-18.19,-18.19,7
JVASP-103814,26.51,26.51,16
JVASP-104,60.5,60.5,6
JVASP-1041,27.64,27.64,1
JVASP-104145,11.47,11.47,15
JVASP-104161,23.59,23.59,9
JVASP-1044,143.46,143.46,1
JVASP-104499,-10.01,-10.01,3
JVASP-104560,2.78,2.78,4
JVASP-104564,41.68,41.68,4
JVASP-104580,36.71,36.71,4
JVASP-104590,24.31,24.31,4
JVASP-104607,13.25,13.25,4
JVASP-104608,-2.86,-2.86,4
JVASP-104646,40.06,40.06,4
JVASP-104660,40.37,40.37,6
JVASP-104667,26.33,26.33,4
JVASP-104670,35.81,35.81,7
JVASP-104696,-24.59,-24.59,6
JVASP-1047,2.82,2.82,1
JVASP-104705,34.11,34.11,4
JVASP-10472,119.71,119.71,12
JVASP-10474,72.72,72.72,12
JVASP-104757,25.32,25.32,7
JVASP-104761,151.35,151.35,4
JVASP-104766,115.97,115.97,4
JVASP-104770,-5.63,-5.63,6
JVASP-10479,8.57,8.57,12
JVASP-10480,7.74,7.74,12
JVASP-10481,16.41,16.41,12
JVASP-10482,30.95,30.95,12
JVASP-104829,3.02,3.02,9
JVASP-104835,38.83,38.83,4
JVASP-104861,7.28,7.28,4
JVASP-104870,0.02,0.02,4
JVASP-104909,91.59,91.59,4
JVASP-104927,21.57,21.57,5
JVASP-10493,39.6,39.6,16
JVASP-104932,15.66,15.66,4
JVASP-104933,11.71,11.71,2
JVASP-104940,88.07,88.07,10
JVASP-104942,40.81,40.81,4
JVASP-104946,47.58,47.58,4
JVASP-104957,19.24,19.24,4
JVASP-1050,24.88,24.88,2
JVASP-10500,224.22,224.22,12
JVASP-105102,-10.45,-10.45,6
JVASP-105103,22.04,22.04,2
JVASP-105113,13.34,13.34,4
JVASP-105114,67.72,67.72,4
JVASP-105161,24.49,24.49,4
JVASP-105191,14.5,14.5,4
JVASP-105192,13.72,13.72,4
JVASP-105198,-22.55,-22.55,6
JVASP-105208,10.57,10.57,8
JVASP-105213,45.76,45.76,4
JVASP-105254,3.23,3.23,4
JVASP-105282,13.71,13.71,4
JVASP-105311,20.86,20.86,5
JVASP-105316,86.23,86.23,5
JVASP-105340,23.34,23.34,5
JVASP-10535,69.34,69.34,18
JVASP-10536,64.21,64.21,10
JVASP-10537,10.59,10.59,12
JVASP-105372,59.11,59.11,4
JVASP-10538,9.61,9.61,12
JVASP-105387,35.25,35.25,4
JVASP-105396,76.75,76.75,8
JVASP-10541,16.98,16.98,10
JVASP-105410,56.54,56.54,2
JVASP-105422,41.42,41.42,2
JVASP-10545,9.13,9.13,12
JVASP-10546,8.79,8.79,12
JVASP-10548,32.54,32.54,14
JVASP-105494,65.82,65.82,4
JVASP-105498,75.74,75.74,4
JVASP-105499,-12.44,-12.44,5
JVASP-10550,8.49,8.49,12
JVASP-10551,9.27,9.27,12
JVASP-10552,41.86,41.86,14
JVASP-10553,70.42,70.42,18
JVASP-10554,54.27,54.27,14
JVASP-10555,11.79,11.79,18
JVASP-10556,101.04,101.04,12
JVASP-10558,61.87,61.87,18
JVASP-10559,58.47,58.47,18
JVASP-1056,38.51,38.51,2
JVASP-105612,19.82,19.82,10
JVASP-105625,6.02,6.02,10
JVASP-105627,8.32,8.32,10
JVASP-105628,0.59,0.59,10
JVASP-105634,1.62,1.62,10
JVASP-105642,-8.92,-8.92,10
JVASP-105655,14.08,14.08,10
JVASP-105656,13.42,13.42,10
JVASP-105658,11.62,11.62,10
JVASP-105667,9.44,9.44,10
JVASP-105670,9.24,9.24,10
JVASP-105681,7.2,7.2,10
JVASP-105683,11.5,11.5,10
JVASP-105684,8.02,8.02,10
JVASP-105685,10.88,10.88,10
JVASP-105695,83.52,83.52,8
JVASP-105696,47.61,47.61,8
JVASP-105699,7.13,7.13,6
JVASP-10570,13.41,13.41,14
JVASP-105700,8.7,8.7,5
JVASP-105701,47.41,47.41,10
JVASP-105702,12.86,12.86,6
JVASP-105703,-6.38,-6.38,9
JVASP-105704,15.81,15.81,4
JVASP-105705,10.52,10.52,4
JVASP-105706,0.0,0.0,3
JVASP-105707,-3.82,-3.82,2
JVASP-105710,135.28,135.28,6
JVASP-105711,7.93,7.93,4
JVASP-10572,17.32,17.32,12
JVASP-105721,7.99,7.99,4
JVASP-105722,8.07,8.07,4
JVASP-105726,15.28,15.28,4
JVASP-105727,85.69,85.69,4
JVASP-10573,56.03,56.03,10
