jid,optb88vdw_bandgap,target,num_atoms
JVASP-97624,0.0,0.0,28
JVASP-14757,0.0,0.0,1
JVASP-22671,0.0,0.0,4
JVASP-22514,0.0,0.0,6
JVASP-15478,0.0,0.0,4
JVASP-28353,0.0,0.0,3
JVASP-90115,0.0,0.0,9
JVASP-89035,3.21,3.21,14
JVASP-91521,0.0,0.0,8
JVASP-39244,0.0,0.0,5
JVASP-38332,0.0,0.0,5
JVASP-98291,2.962,2.962,52
JVASP-65065,0.0,0.0,6
JVASP-3648,2.075,2.075,6
JVASP-86727,0.0,0.0,6
JVASP-98702,0.0,0.0,12
JVASP-97502,5.202,5.202,36
JVASP-43624,1.273,1.273,24
JVASP-64132,0.0,0.0,6
JVASP-65103,0.0,0.0,6
JVASP-64006,0.0,0.0,6
JVASP-63916,0.0,0.0,6
JVASP-89902,0.0,0.0,9
JVASP-43427,2.106,2.106,6
JVASP-5485,2.119,2.119,6
JVASP-49894,0.0,0.0,5
JVASP-2017,1.005,1.005,4
JVASP-36921,0.317,0.317,5
JVASP-3396,0.0,0.0,8
JVASP-15528,0.0,0.0,4
JVASP-18822,0.0,0.0,4
JVASP-42402,3.343,3.343,13
JVASP-90857,0.644,0.644,8
JVASP-98355,3.798,3.798,48
JVASP-98801,0.387,0.387,30
JVASP-49776,1.422,1.422,12
JVASP-98091,0.0,0.0,36
JVASP-50691,0.367,0.367,28
JVASP-28566,0.088,0.088,9
JVASP-14223,3.396,3.396,48
JVASP-47765,0.0,0.0,18
JVASP-53075,1.993,1.993,8
JVASP-14874,0.0,0.0,8
JVASP-53439,0.0,0.0,7
JVASP-64788,0.0,0.0,6
JVASP-64189,0.0,0.0,6
JVASP-3258,2.318,2.318,5
JVASP-43740,0.0,0.0,10
JVASP-97577,3.579,3.579,5
JVASP-50007,3.64,3.64,18
JVASP-85460,0.401,0.401,14
JVASP-97739,0.0,0.0,22
JVASP-98227,0.0,0.0,24
JVASP-97338,6.031,6.031,40
JVASP-47963,0.0,0.0,12
JVASP-90229,0.0,0.0,9
JVASP-64094,0.0,0.0,6
JVASP-90715,0.0,0.0,8
JVASP-52889,2.51,2.51,14
JVASP-86099,0.0,0.0,18
JVASP-107776,0.0,0.0,5
JVASP-43081,1.659,1.659,12
JVASP-90041,0.0,0.0,9
JVASP-97802,0.0,0.0,10
JVASP-12162,3.154,3.154,6
JVASP-1840,1.56,1.56,4
JVASP-14615,0.0,0.0,1
JVASP-15832,0.0,0.0,6
JVASP-92195,0.0,0.0,8
JVASP-98445,1.517,1.517,50
JVASP-16932,0.0,0.0,4
JVASP-50108,2.754,2.754,10
JVASP-64437,0.0,0.0,6
JVASP-19923,0.0,0.0,2
JVASP-60703,1.045,1.045,24
JVASP-86969,0.0,0.0,6
JVASP-5065,0.0,0.0,6
JVASP-91654,0.0,0.0,8
JVASP-3099,3.589,3.589,9
JVASP-98616,4.604,4.604,25
JVASP-64247,0.0,0.0,6
JVASP-64987,0.0,0.0,6
JVASP-64380,0.0,0.0,6
JVASP-48464,0.0,0.0,24
JVASP-16114,0.0,0.0,6
JVASP-64317,0.0,0.0,6
JVASP-18887,0.0,0.0,3
JVASP-97920,2.042,2.042,26
JVASP-48384,0.0,0.0,24
JVASP-98175,1.046,1.046,22
JVASP-64530,0.0,0.0,6
JVASP-64671,0.0,0.0,6
JVASP-98556,0.0,0.0,24
JVASP-64725,0.0,0.0,6
JVASP-64866,0.0,0.0,6
JVASP-42660,0.0,0.0,14
JVASP-4510,1.737,1.737,12
JVASP-44065,2.754,2.754,6
JVASP-90534,2.358,2.358,9
JVASP-50936,3.702,3.702,4
JVASP-48750,1.473,1.473,10
JVASP-90582,0.0,0.0,8
JVASP-50811,4.204,4.204,4
JVASP-88834,1.44,1.44,28
JVASP-91609,0.0,0.0,8
JVASP-90337,0.0,0.0,9
JVASP-86781,0.0,0.0,14
JVASP-43524,0.013,0.013,20
JVASP-43844,0.0,0.0,28
JVASP-3177,4.406,4.406,5
JVASP-38492,0.0,0.0,8
JVASP-91657,0.0,0.0,8
JVASP-243,0.0,0.0,6
JVASP-98189,0.0,0.0,6
JVASP-18823,0.0,0.0,4
JVASP-87913,0.0,0.0,6
JVASP-90237,0.0,0.0,9
JVASP-89041,3.406,3.406,52
JVASP-46861,0.0,0.0,12
JVASP-88546,1.083,1.083,18
JVASP-3117,4.866,4.866,8
JVASP-65030,0.0,0.0,4
JVASP-90118,0.0,0.0,9
JVASP-36852,0.0,0.0,8
JVASP-86375,0.0,0.0,6
JVASP-64014,0.0,0.0,6
JVASP-97389,0.002,0.002,32
JVASP-91567,0.934,0.934,8
JVASP-64331,0.0,0.0,6
JVASP-92200,0.0,0.0,8
JVASP-90772,0.0,0.0,8
JVASP-97928,4.577,4.577,84
JVASP-88842,0.0,0.0,6
JVASP-98811,0.0,0.0,22
JVASP-90815,0.0,0.0,8
JVASP-86905,0.0,0.0,10
JVASP-42229,0.0,0.0,13
JVASP-64606,0.0,0.0,6
JVASP-86851,0.0,0.0,18
JVASP-97505,0.0,0.0,15
JVASP-49779,2.094,2.094,12
JVASP-48579,2.962,2.962,20
JVASP-90341,0.0,0.0,9
JVASP-98619,5.156,5.156,54
JVASP-86586,0.0,0.0,10
JVASP-97684,1.247,1.247,64
JVASP-64873,0.0,0.0,6
JVASP-63968,0.0,0.0,6
JVASP-98568,0.688,0.688,28
JVASP-86447,0.0,0.0,10
JVASP-63924,0.0,0.0,6
JVASP-97997,0.07,0.07,24
JVASP-86505,0.0,0.0,6
JVASP-64389,0.0,0.0,6
JVASP-64680,0.0,0.0,3
JVASP-64262,0.0,0.0,6
JVASP-97812,4.165,4.165,68
JVASP-98361,2.329,2.329,28
JVASP-98504,0.0,0.0,32
JVASP-64103,0.0,0.0,4
JVASP-42809,0.0,0.0,24
JVASP-64055,0.0,0.0,6
JVASP-64459,0.0,0.0,6
JVASP-42415,0.0,0.0,18
JVASP-85467,0.0,0.0,16
JVASP-89269,2.37,2.37,24
JVASP-48782,0.0,0.0,15
JVASP-107742,0.0,0.0,5
JVASP-98097,0.0,0.0,22
JVASP-64800,0.0,0.0,6
JVASP-64542,0.0,0.0,6
JVASP-16084,0.0,0.0,1
JVASP-97754,5.152,5.152,42
JVASP-22559,0.0,0.0,10
JVASP-98238,0.489,0.489,28
JVASP-5503,1.466,1.466,18
JVASP-43432,1.105,1.105,24
JVASP-64955,0.0,0.0,3
JVASP-65071,0.0,0.0,6
JVASP-97341,0.0,0.0,36
JVASP-14833,0.0,0.0,1
JVASP-85370,3.257,3.257,6
JVASP-48932,0.191,0.191,23
JVASP-64201,0.0,0.0,4
JVASP-64142,0.0,0.0,6
JVASP-64993,0.0,0.0,4
JVASP-48169,1.597,1.597,20
JVASP-90174,0.0,0.0,9
JVASP-22620,0.0,0.0,5
JVASP-65108,0.0,0.0,4
JVASP-107784,6.581,6.581,9
JVASP-98451,4.589,4.589,35
JVASP-48472,0.0,0.0,22
JVASP-91703,0.0,0.0,8
JVASP-86157,0.0,0.0,11
JVASP-64738,0.0,0.0,6
JVASP-87046,0.0,0.0,12
JVASP-22517,1.418,1.418,8
JVASP-97929,6.185,6.185,32
JVASP-64016,0.0,0.0,6
JVASP-97440,2.113,2.113,44
JVASP-97862,5.621,5.621,48
JVASP-98812,1.102,1.102,40
JVASP-86104,2.575,2.575,15
JVASP-47967,0.0,0.0,10
JVASP-14619,0.0,0.0,1
JVASP-85928,1.036,1.036,16
JVASP-18513,0.0,0.0,4
JVASP-90585,0.0,0.0,8
JVASP-48390,0.0,0.0,14
JVASP-43529,0.0,0.0,20
JVASP-47769,0.0,0.0,19
JVASP-64915,0.0,0.0,4
JVASP-64332,0.0,0.0,6
JVASP-88716,0.0,0.0,34
JVASP-64263,0.0,0.0,6
JVASP-29231,5.379,5.379,37
JVASP-64683,0.0,0.0,6
JVASP-63925,0.0,0.0,6
JVASP-64056,0.0,0.0,3
JVASP-53444,5.3,5.3,10
JVASP-65031,0.0,0.0,6
JVASP-64610,0.0,0.0,6
JVASP-64390,0.0,0.0,6
JVASP-85862,0.0,0.0,12
JVASP-64104,0.0,0.0,6
JVASP-14790,0.0,0.0,2
JVASP-15261,0.0,0.0,8
JVASP-86579,0.0,0.0,13
JVASP-37034,0.0,0.0,4
JVASP-98092,1.055,1.055,28
JVASP-22645,0.689,0.689,7
JVASP-65066,0.0,0.0,6
JVASP-97625,1.71,1.71,24
JVASP-37050,0.0,0.0,4
JVASP-37036,0.0,0.0,4
JVASP-37190,0.0,0.0,4
JVASP-41448,0.0,0.0,4
JVASP-26,0.012,0.012,4
JVASP-37314,0.0,0.0,5
JVASP-86900,2.007,2.007,14
JVASP-87209,0.0,0.0,20
JVASP-29226,4.548,4.548,22
JVASP-86323,0.0,0.0,6
JVASP-89970,0.0,0.0,9
JVASP-91849,0.01,0.01,8
JVASP-98356,6.254,6.254,76
JVASP-15734,0.0,0.0,8
JVASP-38326,0.0,0.0,5
JVASP-37208,0.0,0.0,5
JVASP-98176,0.0,0.0,4
JVASP-48167,0.0,0.0,12
JVASP-38310,0.0,0.0,5
JVASP-64726,0.0,0.0,6
JVASP-98802,2.343,2.343,44
JVASP-50761,3.766,3.766,20
JVASP-86443,0.003,0.003,13
JVASP-88712,3.234,3.234,24
JVASP-49837,4.737,4.737,20
JVASP-48923,1.079,1.079,12
JVASP-91565,3.645,3.645,8
JVASP-91940,0.0,0.0,8
JVASP-38314,0.0,0.0,5
JVASP-52478,3.804,3.804,22
JVASP-16139,0.0,0.0,4
JVASP-63959,0.0,0.0,6
JVASP-64048,0.0,0.0,6
JVASP-64948,0.0,0.0,4
JVASP-38201,0.0,0.0,4
JVASP-97855,0.987,0.987,24
JVASP-52548,2.922,2.922,14
JVASP-88010,1.368,1.368,22
JVASP-91747,0.0,0.0,8
JVASP-52342,0.899,0.899,12
JVASP-38246,0.0,0.0,4
JVASP-48649,0.0,0.0,24
JVASP-97432,0.632,0.632,16
JVASP-15811,0.0,0.0,6
JVASP-98295,4.387,4.387,14
JVASP-48577,2.05,2.05,10
JVASP-91795,0.852,0.852,8
JVASP-39287,0.0,0.0,4
JVASP-37056,0.0,0.0,4
JVASP-86206,3.442,3.442,16
JVASP-91990,0.0,0.0,8
JVASP-12124,0.248,0.248,18
JVASP-15113,0.0,0.0,9
JVASP-86028,1.328,1.328,18
JVASP-28637,0.676,0.676,12
JVASP-86275,0.0,0.0,12
JVASP-42805,0.15,0.15,18
JVASP-97680,0.0,0.0,24
JVASP-42301,1.913,1.913,20
JVASP-38483,0.0,0.0,4
JVASP-97383,0.0,0.0,30
JVASP-85666,0.267,0.267,13
JVASP-65024,0.0,0.0,6
JVASP-85272,2.767,2.767,7
JVASP-38319,0.0,0.0,5
JVASP-85558,0.0,0.0,8
JVASP-48311,0.0,0.0,12
JVASP-86155,0.0,0.0,16
JVASP-50399,4.146,4.146,25
JVASP-16081,0.0,0.0,1
JVASP-49950,2.632,2.632,24
JVASP-107738,0.0,0.0,6
JVASP-90769,0.0,0.0,8
JVASP-42541,0.0,0.0,15
JVASP-88522,0.0,0.0,22
JVASP-85786,0.0,0.0,12
JVASP-98719,3.374,3.374,20
JVASP-48233,0.0,0.0,19
JVASP-89267,0.0,0.0,12
JVASP-85714,0.0,0.0,6
JVASP-98039,0.0,0.0,32
JVASP-85366,0.412,0.412,16
JVASP-98935,0.502,0.502,48
JVASP-42722,0.0,0.0,10
JVASP-42222,1.101,1.101,24
JVASP-38614,0.0,0.0,5
JVASP-22722,0.558,0.558,16
JVASP-86679,0.213,0.213,10
JVASP-64133,0.0,0.0,6
JVASP-90169,0.0,0.0,9
JVASP-64910,0.0,0.0,4
JVASP-63917,0.0,0.0,6
JVASP-14998,0.0,0.0,3
JVASP-15432,0.0,0.0,9
JVASP-3489,0.975,0.975,8
JVASP-97503,3.882,3.882,56
JVASP-28964,0.616,0.616,12
JVASP-14915,0.0,0.0,1
JVASP-64008,0.0,0.0,6
JVASP-37046,0.0,0.0,4
JVASP-87905,1.04,1.04,44
JVASP-38764,0.0,0.0,4
JVASP-98448,6.702,6.702,32
JVASP-88123,0.0,0.0,36
JVASP-91891,0.0,0.0,8
JVASP-64588,0.0,0.0,6
JVASP-38283,0.0,0.0,5
JVASP-37407,0.0,0.0,5
JVASP-14958,0.0,0.0,2
JVASP-37424,0.0,0.0,9
JVASP-36897,0.0,0.0,5
JVASP-90431,0.0,0.0,8
JVASP-48095,0.0,0.0,18
JVASP-589,0.0,0.0,3
JVASP-63969,0.0,0.0,6
JVASP-98363,3.282,3.282,30
JVASP-98301,4.416,4.416,36
JVASP-43030,0.0,0.0,6
JVASP-64462,0.0,0.0,6
JVASP-88159,1.341,1.341,36
JVASP-3753,0.0,0.0,6
JVASP-87334,0.0,0.0,56
JVASP-97633,1.918,1.918,38
JVASP-89905,0.0,0.0,9
JVASP-107743,0.0,0.0,4
JVASP-86978,0.0,0.0,13
JVASP-97506,0.082,0.082,22
JVASP-90438,0.0,0.0,8
JVASP-97342,6.404,6.404,36
JVASP-90539,0.0,0.0,8
JVASP-91612,0.0,0.0,8
JVASP-91750,0.0,0.0,8
JVASP-91993,0.0,0.0,8
JVASP-64544,0.0,0.0,6
JVASP-64803,0.0,0.0,6
JVASP-64203,0.0,0.0,6
JVASP-64878,0.0,0.0,4
JVASP-3657,1.716,1.716,9
JVASP-65073,0.0,0.0,6
JVASP-98620,4.677,4.677,36
JVASP-15389,0.0,0.0,5
JVASP-89977,0.0,0.0,9
JVASP-97998,1.582,1.582,32
JVASP-91944,1.372,1.372,8
JVASP-90631,0.0,0.0,8
JVASP-91852,0.0,0.0,8
JVASP-53082,1.358,1.358,4
JVASP-97390,0.0,0.0,24
JVASP-50695,4.844,4.844,20
JVASP-64017,0.0,0.0,6
JVASP-48653,0.561,0.561,24
JVASP-98046,0.91,0.91,46
JVASP-50404,4.956,4.956,25
JVASP-90046,0.0,0.0,9
JVASP-42308,0.0,0.0,14
JVASP-64144,0.0,0.0,6
JVASP-18656,0.0,0.0,4
JVASP-97930,3.479,3.479,44
JVASP-63926,0.0,0.0,6
JVASP-98190,0.0,0.0,16
JVASP-97755,0.0,0.0,44
JVASP-64266,0.0,0.0,6
JVASP-85565,0.0,0.0,6
JVASP-88373,1.582,1.582,32
JVASP-86278,0.0,0.0,9
JVASP-97442,5.317,5.317,46
JVASP-86211,0.593,0.593,10
JVASP-64057,0.0,0.0,6
JVASP-22648,0.504,0.504,12
JVASP-98735,0.0,0.0,15
JVASP-64956,0.0,0.0,4
JVASP-18825,0.0,0.0,6
JVASP-64334,0.0,0.0,3
JVASP-64739,0.0,0.0,6
JVASP-64994,0.0,0.0,6
JVASP-42544,0.0,0.0,18
JVASP-98239,4.12,4.12,36
JVASP-98505,0.0,0.0,24
JVASP-65109,0.0,0.0,3
JVASP-43066,0.0,0.0,6
JVASP-12049,3.647,3.647,6
JVASP-97814,4.39,4.39,40
JVASP-97864,4.515,4.515,35
JVASP-90860,0.0,0.0,8
JVASP-90718,0.0,0.0,8
JVASP-42666,2.297,2.297,8
JVASP-48101,0.0,0.0,8
JVASP-1759,2.34,2.34,2
JVASP-107744,0.0,0.0,4
JVASP-64105,0.0,0.0,6
JVASP-86037,0.0,0.0,5
JVASP-64547,0.0,0.0,6
JVASP-63970,0.0,0.0,6
JVASP-64612,0.0,0.0,6
JVASP-64684,0.0,0.0,6
JVASP-28356,0.578,0.578,4
JVASP-42726,0.0,0.0,18
JVASP-87915,0.0,0.0,9
JVASP-92203,0.0,0.0,8
JVASP-43637,2.028,2.028,9
JVASP-91894,0.0,0.0,8
JVASP-97343,0.0,0.0,12
JVASP-98818,0.0,0.0,24
