jid,mbj_bandgap,target,num_atoms
JVASP-15734,0.0,0.0,8
JVASP-37208,0.0,0.0,5
JVASP-38310,0.0,0.0,5
JVASP-64726,0.0,0.0,6
JVASP-49837,6.341,6.341,20
JVASP-91565,5.215,5.215,8
JVASP-38201,0.0,0.0,4
JVASP-52548,4.287,4.287,14
JVASP-38246,0.0,0.0,4
JVASP-48577,2.377,2.377,10
JVASP-86206,3.941,3.941,16
JVASP-15113,0.0,0.0,9
JVASP-86028,1.292,1.292,18
JVASP-85272,3.709,3.709,7
JVASP-48311,0.0,0.0,12
JVASP-16081,0.0,0.0,1
JVASP-48233,0.0,0.0,19
JVASP-42722,0.0,0.0,10
JVASP-42222,1.612,1.612,24
JVASP-38614,0.0,0.0,5
JVASP-64910,0.0,0.0,4
JVASP-37046,0.0,0.0,4
JVASP-91891,0.0,0.0,8
JVASP-14958,0.0,0.0,2
JVASP-43030,0.0,0.0,6
JVASP-64462,0.0,0.0,6
JVASP-3753,0.0,0.0,6
JVASP-97633,2.7,2.7,38
JVASP-91750,0.08,0.08,8
JVASP-64544,0.0,0.0,6
JVASP-3657,2.241,2.241,9
JVASP-53082,2.18,2.18,4
JVASP-64017,0.0,0.0,6
JVASP-50404,7.085,7.085,25
JVASP-64144,0.0,0.0,6
JVASP-18656,0.0,0.0,4
JVASP-63926,0.0,0.0,6
JVASP-98190,0.0,0.0,16
JVASP-22648,1.207,1.207,12
JVASP-18825,0.0,0.0,6
JVASP-64334,0.0,0.0,3
JVASP-64739,0.0,0.0,6
JVASP-64994,0.0,0.0,6
JVASP-65109,0.0,0.0,3
JVASP-90860,0.0,0.0,8
JVASP-28356,1.007,1.007,4
JVASP-43637,4.706,4.706,9
JVASP-64391,0.0,0.0,6
JVASP-44082,0.0,0.0,16
JVASP-64463,0.0,0.0,6
JVASP-37028,0.0,0.0,4
JVASP-64019,0.0,0.0,6
JVASP-64205,0.0,0.0,6
JVASP-64147,0.0,0.0,3
JVASP-64272,0.0,0.0,6
JVASP-65074,0.0,0.0,3
JVASP-64549,0.0,0.0,6
JVASP-64613,0.0,0.0,6
JVASP-22621,0.0,0.0,9
JVASP-88017,0.0,0.0,6
JVASP-86588,0.0,0.0,15
JVASP-64206,0.0,0.0,6
JVASP-64392,0.0,0.0,3
JVASP-65033,0.0,0.0,6
JVASP-98048,0.0,0.0,8
JVASP-64995,0.0,0.0,4
JVASP-85283,2.455,2.455,16
JVASP-64336,0.0,0.0,6
JVASP-64917,0.467,0.467,4
JVASP-85669,6.942,6.942,16
JVASP-87109,7.167,7.167,16
JVASP-107786,2.198,2.198,8
JVASP-91526,0.0,0.0,8
JVASP-22560,1.567,1.567,5
JVASP-85717,4.144,4.144,12
JVASP-87220,5.925,5.925,9
JVASP-64808,0.0,0.0,6
JVASP-64062,0.0,0.0,6
JVASP-64880,0.0,0.0,6
JVASP-64109,0.0,0.0,3
JVASP-42233,0.0,0.0,12
JVASP-64276,0.0,0.0,6
JVASP-42416,3.519,3.519,9
JVASP-64550,0.0,0.0,6
JVASP-90816,0.058,0.058,8
JVASP-64686,0.0,0.0,6
JVASP-75,1.436,1.436,6
JVASP-64616,0.0,0.0,6
JVASP-64337,0.0,0.0,6
JVASP-64022,0.0,0.0,6
JVASP-5506,2.382,2.382,36
JVASP-86682,0.0,0.0,12
JVASP-64465,0.0,0.0,6
JVASP-64393,0.0,0.0,3
JVASP-63933,0.0,0.0,6
JVASP-64063,0.0,0.0,3
JVASP-42667,4.342,4.342,12
JVASP-64750,0.0,0.0,6
JVASP-14620,0.0,0.0,1
JVASP-86159,0.0,0.0,6
JVASP-32216,4.572,4.572,26
JVASP-18826,0.0,0.0,4
JVASP-12019,0.0,0.0,3
JVASP-87336,0.0,0.0,30
JVASP-64394,0.0,0.0,6
JVASP-64751,0.0,0.0,6
JVASP-65076,0.0,0.0,3
JVASP-48933,5.471,5.471,6
JVASP-22649,2.213,2.213,9
JVASP-64996,0.0,0.0,4
JVASP-1291,5.803,5.803,2
JVASP-64150,0.0,0.0,6
JVASP-64918,0.0,0.0,6
JVASP-63935,0.0,0.0,3
JVASP-14699,0.0,0.0,4
JVASP-64816,0.0,0.0,6
JVASP-64208,0.0,0.0,6
JVASP-64689,0.0,0.0,6
JVASP-15183,0.0,0.0,5
JVASP-64466,0.0,0.0,3
JVASP-44085,1.48,1.48,14
JVASP-64151,0.0,0.0,3
JVASP-14835,0.0,0.0,2
JVASP-64752,0.0,0.0,6
JVASP-87050,3.761,3.761,7
JVASP-91704,0.0,0.0,8
JVASP-91945,0.0,0.0,8
JVASP-85794,3.77,3.77,8
JVASP-64209,0.0,0.0,6
JVASP-64622,0.0,0.0,6
JVASP-64691,0.0,0.0,6
JVASP-64397,0.0,0.0,3
JVASP-64559,0.0,0.0,6
JVASP-65115,0.0,0.0,6
JVASP-23437,2.029,2.029,9
JVASP-63987,0.0,0.0,6
JVASP-1248,2.821,2.821,2
JVASP-64626,0.0,0.0,6
JVASP-52553,7.358,7.358,20
JVASP-42728,0.0,0.0,18
JVASP-22622,0.558,0.558,7
JVASP-64284,0.0,0.0,6
JVASP-15302,0.0,0.0,5
JVASP-64340,0.0,0.0,6
JVASP-64697,0.0,0.0,6
JVASP-91854,0.0,0.0,8
JVASP-38157,0.0,0.0,6
JVASP-65080,0.0,0.0,6
JVASP-64474,0.0,0.0,6
JVASP-64919,0.0,0.0,6
JVASP-90719,0.0,0.0,8
JVASP-64287,0.0,0.0,6
JVASP-64758,0.0,0.0,6
JVASP-91895,0.0,0.0,8
JVASP-43305,0.0,0.0,14
JVASP-32,7.571,7.571,10
JVASP-4606,2.046,2.046,20
JVASP-64825,0.0,0.0,3
JVASP-64029,0.0,0.0,6
JVASP-64475,0.0,0.0,6
JVASP-15347,0.0,0.0,5
JVASP-64997,0.0,0.0,6
JVASP-64069,0.0,0.0,3
JVASP-88019,8.252,8.252,3
JVASP-14939,0.0,0.0,4
JVASP-64155,0.0,0.0,3
JVASP-98053,0.0,0.0,7
JVASP-86450,0.0,0.0,11
JVASP-86038,0.812,0.812,18
JVASP-64883,0.0,0.0,4
JVASP-63988,0.0,0.0,3
JVASP-22561,1.627,1.627,9
JVASP-16219,0.0,0.0,5
JVASP-64560,0.0,0.0,6
JVASP-64826,0.0,0.0,6
JVASP-86596,3.239,3.239,8
JVASP-65036,0.0,0.0,6
JVASP-42668,3.88,3.88,24
JVASP-64212,0.0,0.0,6
JVASP-14836,0.0,0.0,1
JVASP-3324,2.49,2.49,5
JVASP-90775,0.0,0.0,8
JVASP-85718,2.692,2.692,5
JVASP-64346,0.0,0.0,4
JVASP-64630,0.0,0.0,6
JVASP-48172,0.0,0.0,24
JVASP-49954,5.694,5.694,26
JVASP-65117,0.0,0.0,3
JVASP-64561,0.0,0.0,6
JVASP-64763,0.0,0.0,6
JVASP-64119,0.0,0.0,3
JVASP-2029,2.064,2.064,4
JVASP-64347,0.0,0.0,6
JVASP-97819,1.634,1.634,14
JVASP-97688,0.0,0.0,5
JVASP-64289,0.0,0.0,6
JVASP-64215,0.0,0.0,6
JVASP-161,3.138,3.138,3
JVASP-64484,0.0,0.0,6
JVASP-64631,0.0,0.0,4
JVASP-64700,0.0,0.0,6
JVASP-2133,1.916,1.916,8
JVASP-64564,0.0,0.0,6
JVASP-64764,0.0,0.0,6
JVASP-85471,4.328,4.328,18
JVASP-64402,0.0,0.0,6
JVASP-5509,3.219,3.219,24
JVASP-64157,0.0,0.0,6
JVASP-86786,0.0,0.0,5
JVASP-98373,0.0,0.0,10
JVASP-64830,0.0,0.0,3
JVASP-64076,0.0,0.0,6
JVASP-64490,0.0,0.0,6
JVASP-64633,0.0,0.0,6
JVASP-49782,4.918,4.918,7
JVASP-65119,0.0,0.0,6
JVASP-52555,4.359,4.359,27
JVASP-64887,0.0,0.0,6
JVASP-65040,0.0,0.0,3
JVASP-1399,3.045,3.045,3
JVASP-64352,0.0,0.0,6
JVASP-91752,3.696,3.696,8
JVASP-22588,4.463,4.463,16
JVASP-64159,0.0,0.0,6
JVASP-64998,0.0,0.0,6
JVASP-63992,0.0,0.0,3
JVASP-64036,0.0,0.0,3
JVASP-15304,0.0,0.0,4
JVASP-98305,0.743,0.743,32
JVASP-107751,3.652,3.652,8
JVASP-43020,0.0,0.0,29
JVASP-98460,0.0,0.0,12
JVASP-98846,0.0,0.0,16
JVASP-64219,0.0,0.0,6
JVASP-63993,0.0,0.0,6
JVASP-64162,0.0,0.0,6
JVASP-64080,0.0,0.0,6
JVASP-65088,0.0,0.0,6
JVASP-64999,0.0,0.0,6
JVASP-64704,0.0,0.0,4
JVASP-64406,0.0,0.0,6
JVASP-4216,1.666,1.666,12
JVASP-64354,0.0,0.0,3
JVASP-64770,0.0,0.0,6
JVASP-14938,0.0,0.0,4
JVASP-64220,0.0,0.0,6
JVASP-64126,0.0,0.0,6
JVASP-63994,0.0,0.0,6
JVASP-15348,0.125,0.125,3
JVASP-3327,2.31,2.31,5
JVASP-88846,0.0,0.0,2
JVASP-64296,0.0,0.0,4
JVASP-64497,0.0,0.0,6
JVASP-63995,0.0,0.0,6
JVASP-64636,0.0,0.0,6
JVASP-98746,0.0,0.0,44
JVASP-64566,0.0,0.0,6
JVASP-46371,0.0,0.0,10
JVASP-64170,0.0,0.0,6
JVASP-64706,0.0,0.0,6
JVASP-90121,0.0,0.0,9
JVASP-64840,0.0,0.0,6
JVASP-107752,3.22,3.22,10
JVASP-44097,3.526,3.526,24
JVASP-97767,3.751,3.751,24
JVASP-64361,0.0,0.0,6
JVASP-65042,0.0,0.0,6
JVASP-64412,0.0,0.0,6
JVASP-64771,0.0,0.0,6
JVASP-64889,0.0,0.0,4
JVASP-64925,0.0,0.0,4
JVASP-64127,0.0,0.0,6
JVASP-42669,4.48,4.48,15
JVASP-85373,0.0,0.0,5
JVASP-64571,0.0,0.0,6
JVASP-85795,3.064,3.064,18
JVASP-3831,2.097,2.097,8
JVASP-90545,0.0,0.0,8
JVASP-89050,5.122,5.122,12
JVASP-64413,0.0,0.0,6
JVASP-64772,0.0,0.0,6
JVASP-64225,0.0,0.0,6
JVASP-64083,0.0,0.0,6
JVASP-91528,0.0,0.0,8
JVASP-65139,0.0,0.0,3
JVASP-64128,0.0,0.0,6
JVASP-97400,1.6,1.6,28
JVASP-65002,0.0,0.0,4
JVASP-65090,0.0,0.0,6
JVASP-64843,0.0,0.0,6
JVASP-1762,5.474,5.474,4
JVASP-64300,0.0,0.0,6
JVASP-14622,0.0,0.0,4
JVASP-64362,0.0,0.0,6
JVASP-98462,0.0,0.0,16
JVASP-1174,1.321,1.321,2
JVASP-90720,0.0,0.0,8
JVASP-64709,0.0,0.0,6
JVASP-64175,0.0,0.0,6
JVASP-98198,0.0,0.0,18
JVASP-64928,0.0,0.0,6
JVASP-64776,0.0,0.0,3
JVASP-64364,0.0,0.0,6
JVASP-64969,0.0,0.0,4
JVASP-42814,0.0,0.0,20
JVASP-64509,0.0,0.0,6
JVASP-64845,0.0,0.0,3
JVASP-15593,0.0,0.0,6
JVASP-22516,0.0,0.0,6
JVASP-64227,0.0,0.0,6
JVASP-4609,0.0,0.0,10
JVASP-48944,4.078,4.078,11
JVASP-64890,0.0,0.0,6
JVASP-52560,3.521,3.521,16
JVASP-97520,0.433,0.433,32
JVASP-64418,0.0,0.0,3
JVASP-42549,3.146,3.146,24
JVASP-5512,6.737,6.737,32
JVASP-64929,0.0,0.0,6
JVASP-22651,4.183,4.183,12
JVASP-65003,0.0,0.0,4
JVASP-97693,2.079,2.079,22
JVASP-64710,0.0,0.0,3
JVASP-48811,0.0,0.0,15
JVASP-1180,0.758,0.758,4
JVASP-87053,0.0,0.0,14
JVASP-64510,0.0,0.0,6
JVASP-64419,0.0,0.0,6
JVASP-12163,3.749,3.749,6
JVASP-43766,0.0,0.0,9
JVASP-85672,1.883,1.883,13
JVASP-4918,4.114,4.114,8
JVASP-64650,0.0,0.0,6
JVASP-65182,0.0,0.0,6
JVASP-64303,0.0,0.0,4
JVASP-64366,0.0,0.0,6
JVASP-64970,0.0,0.0,6
JVASP-97402,0.631,0.631,16
JVASP-91706,0.0,0.0,8
JVASP-64852,0.0,0.0,4
JVASP-64578,0.0,0.0,6
JVASP-87116,10.53,10.53,14
JVASP-3333,2.068,2.068,5
JVASP-64420,0.0,0.0,6
JVASP-22624,0.0,0.0,7
JVASP-12110,3.022,3.022,6
JVASP-3834,1.897,1.897,9
JVASP-44101,0.0,0.0,18
JVASP-64891,0.0,0.0,4
JVASP-64712,0.0,0.0,6
JVASP-65143,0.0,0.0,6
JVASP-86108,0.0,0.0,18
JVASP-85570,2.613,2.613,16
JVASP-14623,0.0,0.0,2
JVASP-86910,0.471,0.471,16
JVASP-42237,0.0,0.0,18
JVASP-5167,0.0,0.0,4
JVASP-64421,0.0,0.0,6
JVASP-64579,0.0,0.0,6
JVASP-64855,0.0,0.0,6
JVASP-1696,1.37,1.37,3
JVASP-3180,2.143,2.143,8
JVASP-64367,0.0,0.0,6
JVASP-97358,0.0,0.0,6
JVASP-42256,0.0,0.0,6
JVASP-91802,0.744,0.744,8
JVASP-65130,0.0,0.0,3
JVASP-64931,0.0,0.0,4
JVASP-65294,0.0,0.0,6
JVASP-91571,6.224,6.224,8
JVASP-18401,0.0,0.0,4
JVASP-64310,0.0,0.0,3
JVASP-52561,3.315,3.315,16
JVASP-48815,0.0,0.0,12
JVASP-64580,0.0,0.0,6
JVASP-22518,2.581,2.581,10
JVASP-64369,0.0,0.0,6
JVASP-4921,0.0,0.0,10
JVASP-31809,0.507,0.507,26
JVASP-23438,4.549,4.549,8
JVASP-61470,11.029,11.029,8
JVASP-107759,0.0,0.0,4
JVASP-86789,2.401,2.401,8
JVASP-64972,0.0,0.0,6
JVASP-48114,0.0,0.0,12
JVASP-64715,0.0,0.0,6
JVASP-64311,0.0,0.0,6
JVASP-61193,0.0,0.0,4
JVASP-5170,0.0,0.0,4
JVASP-42321,0.0,0.0,24
JVASP-64663,0.0,0.0,6
JVASP-85799,4.052,4.052,16
JVASP-64375,0.0,0.0,6
JVASP-64932,0.0,0.0,6
JVASP-60874,0.888,0.888,15
JVASP-44105,4.488,4.488,22
JVASP-64581,0.0,0.0,6
JVASP-3336,2.023,2.023,5
JVASP-3492,1.829,1.829,8
JVASP-38244,0.0,0.0,4
JVASP-47982,0.0,0.0,15
JVASP-14624,0.0,0.0,2
JVASP-64859,0.0,0.0,6
JVASP-64312,0.0,0.0,6
JVASP-43535,0.46,0.46,20
JVASP-42551,0.0,0.0,14
JVASP-65260,0.0,0.0,3
JVASP-5521,4.873,4.873,10
JVASP-107760,1.675,1.675,8
JVASP-64376,0.0,0.0,6
JVASP-65147,0.0,0.0,6
JVASP-91755,5.72,5.72,8
JVASP-43542,0.0,0.0,12
JVASP-22625,6.933,6.933,16
JVASP-97362,3.244,3.244,33
JVASP-97696,2.525,2.525,28
JVASP-86740,0.163,0.163,6
JVASP-3837,3.959,3.959,6
JVASP-64718,0.0,0.0,6
JVASP-90721,0.0,0.0,8
JVASP-64973,0.0,0.0,4
JVASP-65097,0.0,0.0,6
JVASP-62215,6.33,6.33,23
JVASP-90865,3.17,3.17,8
JVASP-64313,0.0,0.0,6
JVASP-52566,2.79,2.79,16
JVASP-64934,0.0,0.0,6
JVASP-3183,2.815,2.815,8
JVASP-22519,0.0,0.0,8
JVASP-4924,0.0,0.0,4
JVASP-61992,0.0,0.0,5
JVASP-86687,3.019,3.019,15
JVASP-65221,0.0,0.0,6
JVASP-42450,0.0,0.0,9
JVASP-15834,0.0,0.0,6
JVASP-85675,7.993,7.993,15
JVASP-22563,5.771,5.771,5
JVASP-65009,0.0,0.0,6
JVASP-3402,0.0,0.0,5
JVASP-20086,0.0,0.0,8
JVASP-65148,0.0,0.0,3
JVASP-85573,0.093,0.093,12
JVASP-23439,2.187,2.187,16
JVASP-36936,0.0,0.0,10
JVASP-65265,0.0,0.0,6
JVASP-64936,0.0,0.0,6
JVASP-64895,0.0,0.0,4
JVASP-89307,6.146,6.146,6
JVASP-86860,1.334,1.334,8
JVASP-62003,0.0,0.0,12
JVASP-42817,0.015,0.015,15
JVASP-54353,0.0,0.0,6
JVASP-16045,0.0,0.0,5
JVASP-15221,0.0,0.0,4
JVASP-86109,0.0,0.0,6
JVASP-65222,0.0,0.0,6
JVASP-3840,3.732,3.732,6
JVASP-42552,0.0,0.0,18
JVASP-86453,0.0,0.0,14
JVASP-18657,0.0,0.0,3
JVASP-14999,0.94,0.94,3
JVASP-42240,0.0,0.0,14
JVASP-62413,2.285,2.285,28
JVASP-62221,7.651,7.651,23
JVASP-22589,0.0,0.0,5
JVASP-65150,0.0,0.0,6
JVASP-65010,0.0,0.0,6
JVASP-48403,2.269,2.269,16
JVASP-5524,4.818,4.818,16
JVASP-65057,0.0,0.0,6
JVASP-64975,0.0,0.0,4
JVASP-60893,2.861,2.861,12
JVASP-97659,3.092,3.092,32
JVASP-85723,4.004,4.004,19
JVASP-65267,0.0,0.0,6
JVASP-61252,3.699,3.699,9
JVASP-62006,0.0,0.0,5
JVASP-86791,3.225,3.225,17
JVASP-14625,0.0,0.0,8
JVASP-87925,2.94,2.94,9
JVASP-47983,0.0,0.0,11
JVASP-86612,3.643,3.643,14
JVASP-87060,0.98,0.98,6
JVASP-5173,3.133,3.133,3
JVASP-15433,0.0,0.0,5
JVASP-65224,0.0,0.0,6
JVASP-64898,0.0,0.0,4
JVASP-14587,0.0,0.0,1
JVASP-65373,0.0,0.0,4
JVASP-61703,7.651,7.651,23
JVASP-22590,1.889,1.889,12
JVASP-97835,1.816,1.816,24
JVASP-92163,0.0,0.0,8
JVASP-62895,5.229,5.229,34
JVASP-48666,3.904,3.904,9
JVASP-12164,4.319,4.319,8
JVASP-42241,0.0,0.0,15
JVASP-64939,0.0,0.0,6
JVASP-42740,0.0,0.0,16
JVASP-62735,7.59,7.59,24
JVASP-3537,0.896,0.896,6
JVASP-85301,4.58,4.58,16
JVASP-3843,2.582,2.582,6
JVASP-65225,0.0,0.0,6
JVASP-4406,0.0,0.0,3
JVASP-48321,1.4,1.4,12
JVASP-90640,0.0,0.0,8
JVASP-85381,6.266,6.266,9
JVASP-85937,0.0,0.0,10
JVASP-15000,0.0,0.0,2
JVASP-62415,6.958,6.958,22
JVASP-60910,1.162,1.162,16
JVASP-65303,0.0,0.0,6
JVASP-14626,0.0,0.0,2
JVASP-65376,0.0,0.0,4
JVASP-86165,0.0,0.0,12
JVASP-62899,3.011,3.011,18
JVASP-97836,4.555,4.555,22
JVASP-64899,0.0,0.0,4
JVASP-91532,1.231,1.231,8
JVASP-42554,2.043,2.043,16
JVASP-91757,2.772,2.772,8
JVASP-98414,0.357,0.357,24
JVASP-90247,1.461,1.461,9
JVASP-65269,0.0,0.0,6
JVASP-42821,0.0,0.0,14
JVASP-61729,5.693,5.693,16
JVASP-50699,2.844,2.844,17
JVASP-62736,5.506,5.506,22
JVASP-48406,2.044,2.044,16
JVASP-49788,5.255,5.255,18
JVASP-22564,14.702,14.702,16
JVASP-97322,0.239,0.239,20
JVASP-86110,3.296,3.296,12
JVASP-65379,0.0,0.0,4
JVASP-89319,4.212,4.212,14
JVASP-65226,0.0,0.0,3
JVASP-14758,0.0,0.0,4
JVASP-22591,3.593,3.593,20
JVASP-98213,3.254,3.254,33
JVASP-21525,6.745,6.745,30
JVASP-65504,0.0,0.0,4
JVASP-16936,0.0,0.0,3
JVASP-48669,0.0,0.0,24
JVASP-14656,0.0,0.0,6
JVASP-65193,0.235,0.235,3
JVASP-42242,0.0,0.0,12
JVASP-62267,4.334,4.334,28
JVASP-98415,7.49,7.49,20
JVASP-43776,3.961,3.961,10
JVASP-86988,1.283,1.283,8
JVASP-42911,0.0,0.0,14
JVASP-22704,4.68,4.68,8
JVASP-97470,2.086,2.086,28
JVASP-28364,0.0,0.0,5
JVASP-92215,2.801,2.801,8
JVASP-64902,0.0,0.0,6
JVASP-61260,0.0,0.0,16
JVASP-15637,0.0,0.0,4
JVASP-86792,7.031,7.031,14
JVASP-14628,0.0,0.0,1
JVASP-15480,0.0,0.0,4
JVASP-15001,0.0,0.0,4
JVASP-1402,0.0,0.0,2
JVASP-16115,0.0,0.0,8
JVASP-3846,2.811,2.811,6
JVASP-64941,0.0,0.0,4
JVASP-65435,0.0,0.0,4
JVASP-62041,6.731,6.731,24
JVASP-14588,0.0,0.0,1
JVASP-65381,0.0,0.0,4
JVASP-5347,0.0,0.0,4
