jid,formation_energy_peratom,target,num_atoms
JVASP-111686,-0.61799,-0.61799,24
JVASP-85227,-1.86058,-1.86058,12
JVASP-72165,0.17679,0.17679,4
JVASP-110274,-0.40004,-0.40004,8
JVASP-103351,-3.52954,-3.52954,10
JVASP-126261,-0.59727,-0.59727,2
JVASP-153398,-0.3182,-0.3182,16
JVASP-98053,-0.32942,-0.32942,7
JVASP-102325,-0.72287,-0.72287,5
JVASP-39151,-0.20696,-0.20696,4
JVASP-40056,-0.21786,-0.21786,4
JVASP-51378,-1.91265,-1.91265,20
JVASP-41145,-0.75504,-0.75504,4
JVASP-116854,-3.01882,-3.01882,28
JVASP-3420,-0.4583,-0.4583,8
JVASP-137944,0.0165,0.0165,4
JVASP-157227,-0.08715,-0.08715,4
JVASP-55158,0.01223,0.01223,4
JVASP-9091,-1.52565,-1.52565,14
JVASP-143992,-1.54858,-1.54858,11
JVASP-133462,-0.3164,-0.3164,12
JVASP-96528,-2.85303,-2.85303,36
JVASP-57891,-0.67694,-0.67694,13
JVASP-85907,-1.51705,-1.51705,12
JVASP-141326,-0.37733,-0.37733,29
JVASP-66525,0.66972,0.66972,6
JVASP-25355,-0.00048,-0.00048,3
JVASP-135613,-0.46351,-0.46351,3
JVASP-8033,-2.58118,-2.58118,5
JVASP-144113,-1.93142,-1.93142,24
JVASP-125821,0.10689,0.10689,4
JVASP-40443,-0.08628,-0.08628,8
JVASP-136360,0.00082,0.00082,3
JVASP-123406,0.17806,0.17806,2
JVASP-94385,0.01373,0.01373,6
JVASP-52200,-2.569,-2.569,16
JVASP-92406,-1.01407,-1.01407,5
JVASP-101780,-2.57751,-2.57751,52
JVASP-54713,-1.56605,-1.56605,14
JVASP-119424,-2.27405,-2.27405,20
JVASP-8764,-1.65015,-1.65015,7
JVASP-2397,-0.94319,-0.94319,8
JVASP-68328,0.01417,0.01417,5
JVASP-110754,-0.90433,-0.90433,4
JVASP-135313,-1.18107,-1.18107,3
JVASP-33034,-0.56295,-0.56295,29
JVASP-91496,-0.64261,-0.64261,28
JVASP-146000,-0.21215,-0.21215,16
JVASP-121109,-2.21123,-2.21123,5
JVASP-21695,-1.10748,-1.10748,16
JVASP-96946,-3.18841,-3.18841,92
JVASP-134749,-0.54763,-0.54763,3
JVASP-8091,-0.84463,-0.84463,9
JVASP-136710,-0.60321,-0.60321,3
JVASP-41854,-0.49601,-0.49601,4
JVASP-110832,-0.10341,-0.10341,4
JVASP-137220,-1.61984,-1.61984,18
JVASP-55658,-2.2225,-2.2225,24
JVASP-29013,-0.79435,-0.79435,12
JVASP-12727,-1.93927,-1.93927,12
JVASP-12160,-2.9783,-2.9783,17
JVASP-68351,0.51752,0.51752,4
JVASP-116764,-1.40744,-1.40744,28
JVASP-127994,0.35499,0.35499,4
JVASP-114747,-1.49937,-1.49937,3
JVASP-129539,-0.49676,-0.49676,2
JVASP-125258,-0.45984,-0.45984,4
JVASP-105127,0.02849,0.02849,4
JVASP-102242,-0.28637,-0.28637,8
JVASP-37735,0.55752,0.55752,4
JVASP-14157,-0.58403,-0.58403,5
JVASP-111307,-0.55891,-0.55891,4
JVASP-26823,-1.79854,-1.79854,30
JVASP-86832,-0.6185,-0.6185,6
JVASP-145962,-1.29161,-1.29161,22
JVASP-14784,-0.31762,-0.31762,4
JVASP-142574,-1.65321,-1.65321,14
JVASP-147565,-1.79096,-1.79096,14
JVASP-121431,-0.517,-0.517,17
JVASP-152670,-2.02351,-2.02351,12
JVASP-38217,1.44186,1.44186,4
JVASP-142799,-2.60587,-2.60587,22
JVASP-112606,-2.44738,-2.44738,14
JVASP-123794,0.25968,0.25968,6
JVASP-46690,-2.58648,-2.58648,18
JVASP-107132,-1.76808,-1.76808,10
JVASP-50828,-0.78322,-0.78322,18
JVASP-102592,-0.58509,-0.58509,4
JVASP-126335,-0.08024,-0.08024,4
JVASP-141096,-0.76181,-0.76181,16
JVASP-58864,-1.2861,-1.2861,20
JVASP-150331,-0.55781,-0.55781,9
JVASP-142159,-2.05882,-2.05882,24
JVASP-14887,-0.06037,-0.06037,8
JVASP-37160,-1.91861,-1.91861,4
JVASP-69432,0.07602,0.07602,4
JVASP-127520,-0.06224,-0.06224,2
JVASP-121747,-2.26075,-2.26075,28
JVASP-67857,0.40699,0.40699,3
JVASP-46862,-2.47957,-2.47957,12
JVASP-35421,-1.66904,-1.66904,7
JVASP-68221,0.04187,0.04187,4
JVASP-37608,-0.10145,-0.10145,4
JVASP-37084,-0.70142,-0.70142,4
JVASP-90809,-0.64697,-0.64697,8
JVASP-105121,-0.03267,-0.03267,4
JVASP-9584,-2.45935,-2.45935,10
JVASP-38606,-0.22542,-0.22542,4
JVASP-117118,-1.00628,-1.00628,20
JVASP-148263,-2.66133,-2.66133,12
JVASP-4131,-1.94019,-1.94019,9
JVASP-2988,-0.53066,-0.53066,6
JVASP-132913,-1.60947,-1.60947,24
JVASP-107940,-0.35939,-0.35939,4
JVASP-107845,-1.92571,-1.92571,10
JVASP-124889,2.70848,2.70848,4
JVASP-110141,-0.92742,-0.92742,4
JVASP-64381,0.17673,0.17673,6
JVASP-46844,-2.45383,-2.45383,24
JVASP-14880,-0.16653,-0.16653,8
JVASP-46189,-2.11308,-2.11308,16
JVASP-74248,-0.18119,-0.18119,4
JVASP-106707,-0.23988,-0.23988,10
JVASP-21914,-1.06456,-1.06456,21
JVASP-17929,-3.11195,-3.11195,7
JVASP-58326,-2.97302,-2.97302,20
JVASP-122017,-1.9306,-1.9306,24
JVASP-114641,0.71823,0.71823,3
JVASP-51214,0.58098,0.58098,3
JVASP-156447,-0.15959,-0.15959,3
JVASP-94346,-0.04199,-0.04199,6
JVASP-24409,-2.7138,-2.7138,5
JVASP-74912,-0.16716,-0.16716,4
JVASP-155776,-0.37413,-0.37413,5
JVASP-156433,-0.0396,-0.0396,3
JVASP-37272,-0.25631,-0.25631,4
JVASP-9977,-3.01082,-3.01082,18
JVASP-121836,-2.06154,-2.06154,28
JVASP-63973,0.22429,0.22429,6
JVASP-36850,-1.21096,-1.21096,4
JVASP-40384,-0.61701,-0.61701,4
JVASP-9543,-2.50171,-2.50171,13
JVASP-151805,-0.66882,-0.66882,12
JVASP-152220,-0.56921,-0.56921,12
JVASP-79388,0.08234,0.08234,4
JVASP-118605,0.27335,0.27335,3
JVASP-65750,-0.11599,-0.11599,4
JVASP-4840,-0.94783,-0.94783,5
JVASP-90137,-0.29189,-0.29189,9
JVASP-68533,0.63267,0.63267,5
JVASP-140025,-0.26096,-0.26096,16
JVASP-121604,-0.98688,-0.98688,20
JVASP-18662,-0.58567,-0.58567,9
JVASP-126841,1.48043,1.48043,2
JVASP-140357,-1.52203,-1.52203,14
JVASP-109258,-2.41751,-2.41751,10
JVASP-138163,0.40419,0.40419,3
JVASP-116544,-2.90693,-2.90693,24
JVASP-147156,-2.04232,-2.04232,28
JVASP-35354,0.13849,0.13849,6
JVASP-86211,-0.38745,-0.38745,10
JVASP-106950,-0.46676,-0.46676,4
JVASP-49723,-1.07291,-1.07291,24
JVASP-148141,-2.0638,-2.0638,20
JVASP-103579,-1.02264,-1.02264,9
JVASP-90160,-2.63896,-2.63896,9
JVASP-107002,-1.0765,-1.0765,6
JVASP-115444,0.02406,0.02406,4
JVASP-119105,-0.68806,-0.68806,28
JVASP-111113,0.16557,0.16557,4
JVASP-126613,1.71911,1.71911,4
JVASP-140379,-2.53873,-2.53873,16
JVASP-42986,-2.39268,-2.39268,14
JVASP-110549,-0.69538,-0.69538,5
JVASP-107545,-1.02208,-1.02208,8
JVASP-123673,-0.28689,-0.28689,3
JVASP-30203,0.25587,0.25587,12
JVASP-142207,-2.30418,-2.30418,20
JVASP-15217,-0.67896,-0.67896,6
JVASP-149588,-0.14269,-0.14269,7
JVASP-69912,-0.11136,-0.11136,4
JVASP-101187,-0.37067,-0.37067,4
JVASP-140498,0.04773,0.04773,18
JVASP-43153,-1.73277,-1.73277,19
JVASP-123752,0.26262,0.26262,2
JVASP-93500,0.14376,0.14376,6
JVASP-119453,-2.79108,-2.79108,15
JVASP-66346,1.22798,1.22798,6
JVASP-78565,-0.10367,-0.10367,2
JVASP-112203,-0.75261,-0.75261,18
JVASP-145318,-0.58277,-0.58277,12
JVASP-101822,-0.10501,-0.10501,34
JVASP-80281,0.05475,0.05475,4
JVASP-57482,-3.10138,-3.10138,9
JVASP-29470,-0.72134,-0.72134,8
JVASP-104833,-0.11361,-0.11361,9
JVASP-48953,-2.99285,-2.99285,19
JVASP-143010,-3.40745,-3.40745,28
JVASP-93413,-3.46612,-3.46612,6
JVASP-121566,-0.21753,-0.21753,12
JVASP-122338,-1.98721,-1.98721,18
JVASP-51034,-2.12757,-2.12757,14
JVASP-143816,-0.21432,-0.21432,12
JVASP-8561,-0.20206,-0.20206,4
JVASP-29126,-0.39749,-0.39749,12
JVASP-137635,-1.21685,-1.21685,16
JVASP-66681,0.05178,0.05178,6
JVASP-146709,-1.64973,-1.64973,30
JVASP-23443,-1.07916,-1.07916,12
JVASP-13881,0.2655,0.2655,4
JVASP-90239,-0.39193,-0.39193,9
JVASP-92533,-0.57082,-0.57082,5
JVASP-59541,-4.15838,-4.15838,24
JVASP-74819,0.48316,0.48316,4
JVASP-124551,0.6287,0.6287,8
JVASP-127249,0.10701,0.10701,2
JVASP-138654,-0.65792,-0.65792,3
JVASP-28925,-0.54962,-0.54962,12
JVASP-135636,0.00529,0.00529,3
JVASP-107326,-0.68479,-0.68479,6
JVASP-29752,-1.82081,-1.82081,6
JVASP-35703,-0.07135,-0.07135,2
JVASP-20607,-0.60576,-0.60576,3
JVASP-153189,-2.42451,-2.42451,16
JVASP-144201,-1.59333,-1.59333,28
JVASP-21882,-0.72637,-0.72637,12
JVASP-60886,-0.11091,-0.11091,46
JVASP-12765,0.67175,0.67175,16
JVASP-10718,-0.15563,-0.15563,16
JVASP-140760,-1.83918,-1.83918,28
JVASP-151871,-0.53857,-0.53857,12
JVASP-149471,-2.87885,-2.87885,7
JVASP-141100,-0.23575,-0.23575,28
JVASP-36866,-2.02179,-2.02179,28
JVASP-65415,0.23601,0.23601,4
JVASP-133779,0.01528,0.01528,4
JVASP-135302,3.28457,3.28457,2
JVASP-138374,-0.72256,-0.72256,4
JVASP-85193,-2.09547,-2.09547,6
JVASP-48295,-1.99552,-1.99552,16
JVASP-148879,-0.02998,-0.02998,6
JVASP-67749,0.45262,0.45262,3
JVASP-71196,0.13492,0.13492,4
JVASP-18397,0.05985,0.05985,2
JVASP-128349,-0.01475,-0.01475,4
JVASP-26876,-0.55107,-0.55107,3
JVASP-103805,0.07048,0.07048,28
JVASP-17535,-1.14042,-1.14042,2
JVASP-69242,-1.14269,-1.14269,4
JVASP-151779,-0.49537,-0.49537,12
JVASP-66452,1.16466,1.16466,6
JVASP-43920,-4.2491,-4.2491,7
JVASP-38533,-0.4055,-0.4055,21
JVASP-110526,-0.3716,-0.3716,8
JVASP-42728,-1.47502,-1.47502,18
JVASP-122827,0.09192,0.09192,4
JVASP-56339,-0.20705,-0.20705,8
JVASP-117479,0.60046,0.60046,3
JVASP-116659,-0.09639,-0.09639,20
JVASP-133910,-3.66209,-3.66209,5
JVASP-54774,-1.17387,-1.17387,20
JVASP-47182,-2.19584,-2.19584,8
JVASP-110776,-0.51918,-0.51918,4
JVASP-87115,0.07389,0.07389,19
JVASP-118349,-2.40922,-2.40922,4
JVASP-74877,0.08077,0.08077,6
JVASP-121298,0.51382,0.51382,3
JVASP-143546,-1.88863,-1.88863,16
JVASP-136530,-0.41346,-0.41346,5
JVASP-49223,-2.66801,-2.66801,24
JVASP-100573,-2.06753,-2.06753,10
JVASP-150450,-0.44975,-0.44975,9
JVASP-107105,-1.44073,-1.44073,10
JVASP-144172,-0.0654,-0.0654,12
JVASP-12952,-0.98688,-0.98688,16
JVASP-8583,-0.34729,-0.34729,2
JVASP-70651,0.0198,0.0198,4
JVASP-139480,-2.12527,-2.12527,4
JVASP-152421,-1.04105,-1.04105,12
JVASP-128318,-0.41168,-0.41168,4
JVASP-25667,-2.86622,-2.86622,26
JVASP-10195,-3.23889,-3.23889,15
JVASP-8417,-2.43946,-2.43946,9
JVASP-151150,-0.55701,-0.55701,12
JVASP-58497,-1.05642,-1.05642,13
JVASP-117430,-2.02123,-2.02123,24
JVASP-58935,-0.53724,-0.53724,22
JVASP-25313,0.4247,0.4247,60
JVASP-57150,-0.54475,-0.54475,24
JVASP-101204,-0.03701,-0.03701,6
JVASP-42114,-0.70631,-0.70631,4
JVASP-34327,-0.31769,-0.31769,7
JVASP-51309,0.7998,0.7998,3
JVASP-17438,-1.01045,-1.01045,2
JVASP-56816,-1.5111,-1.5111,7
JVASP-79107,-0.38542,-0.38542,4
JVASP-70748,-0.1174,-0.1174,4
JVASP-35362,-0.78291,-0.78291,6
JVASP-66858,0.43148,0.43148,3
JVASP-40301,-0.41463,-0.41463,4
JVASP-74019,0.38852,0.38852,4
JVASP-64618,1.2297,1.2297,6
JVASP-67595,0.52258,0.52258,6
JVASP-114007,-2.45638,-2.45638,6
JVASP-28585,-0.76722,-0.76722,12
JVASP-17961,-0.61589,-0.61589,5
JVASP-62437,0.35011,0.35011,20
JVASP-79050,-0.41191,-0.41191,4
JVASP-52281,-2.6218,-2.6218,8
JVASP-34911,-1.1915,-1.1915,10
JVASP-68172,0.53101,0.53101,4
JVASP-128067,0.41177,0.41177,4
JVASP-126960,0.09439,0.09439,4
JVASP-117601,-0.03992,-0.03992,3
JVASP-149970,-0.66227,-0.66227,8
JVASP-109833,-0.89707,-0.89707,10
JVASP-139754,-0.42117,-0.42117,6
JVASP-128803,0.0412,0.0412,2
JVASP-18935,-0.15438,-0.15438,6
JVASP-65428,0.30427,0.30427,4
JVASP-155434,-1.34001,-1.34001,8
JVASP-118820,-1.50324,-1.50324,4
JVASP-111607,-0.82525,-0.82525,12
JVASP-75766,0.29488,0.29488,4
JVASP-41266,-0.76494,-0.76494,4
JVASP-86137,0.39106,0.39106,16
JVASP-103709,-0.58531,-0.58531,7
JVASP-117816,-0.05765,-0.05765,3
JVASP-74181,1.53865,1.53865,4
JVASP-5335,-0.94987,-0.94987,10
JVASP-157323,-0.15864,-0.15864,4
JVASP-15787,-0.28637,-0.28637,8
JVASP-20210,-0.31733,-0.31733,8
JVASP-132237,-0.00575,-0.00575,29
JVASP-103400,0.19688,0.19688,2
JVASP-39139,-0.42017,-0.42017,4
JVASP-110787,-0.35019,-0.35019,8
JVASP-37773,-0.75433,-0.75433,4
JVASP-139256,0.2528,0.2528,3
JVASP-2667,-0.50712,-0.50712,7
JVASP-146958,-0.54351,-0.54351,12
JVASP-143808,-1.89308,-1.89308,16
JVASP-2367,-0.21083,-0.21083,8
JVASP-124830,0.08429,0.08429,2
JVASP-99471,-0.45137,-0.45137,4
JVASP-120960,-0.14054,-0.14054,3
JVASP-116796,-1.60454,-1.60454,30
JVASP-112316,-0.66047,-0.66047,14
JVASP-13789,-0.88947,-0.88947,16
JVASP-156165,-0.57721,-0.57721,8
JVASP-67759,0.37237,0.37237,3
JVASP-109477,-1.43808,-1.43808,10
JVASP-154615,-0.59213,-0.59213,15
JVASP-17408,-0.17098,-0.17098,6
JVASP-99600,-0.50279,-0.50279,6
JVASP-140277,-1.83734,-1.83734,24
JVASP-40031,-0.98004,-0.98004,4
JVASP-93158,0.15033,0.15033,8
JVASP-109573,-0.26784,-0.26784,4
JVASP-151885,-1.65534,-1.65534,12
JVASP-70135,0.89133,0.89133,4
JVASP-14686,-1.07393,-1.07393,2
JVASP-72381,-0.3499,-0.3499,4
JVASP-16549,0.03154,0.03154,3
JVASP-64565,-0.55257,-0.55257,3
JVASP-36972,-1.48912,-1.48912,10
JVASP-67346,0.19727,0.19727,4
JVASP-28796,-0.86258,-0.86258,12
JVASP-25343,0.3834,0.3834,1
JVASP-102287,-0.00159,-0.00159,4
JVASP-106735,-0.40122,-0.40122,8
JVASP-117256,-2.15067,-2.15067,28
JVASP-8777,-2.28968,-2.28968,8
JVASP-119940,2.18151,2.18151,3
JVASP-98482,-2.311,-2.311,7
JVASP-140032,-1.89526,-1.89526,16
JVASP-86115,-0.50705,-0.50705,14
JVASP-126542,-0.12041,-0.12041,4
JVASP-80520,0.85087,0.85087,4
JVASP-65644,0.3641,0.3641,4
JVASP-51228,1.32046,1.32046,4
JVASP-71575,0.0346,0.0346,4
JVASP-71836,0.04755,0.04755,4
JVASP-123758,-0.41921,-0.41921,2
JVASP-28970,-0.55519,-0.55519,12
JVASP-67819,0.44216,0.44216,3
JVASP-106255,-0.28188,-0.28188,4
JVASP-29052,-0.11939,-0.11939,12
JVASP-110338,-3.03689,-3.03689,10
JVASP-51439,1.14533,1.14533,5
JVASP-8257,-1.60225,-1.60225,3
JVASP-156301,-0.1412,-0.1412,5
JVASP-156344,0.16434,0.16434,3
JVASP-122606,0.01041,0.01041,8
JVASP-29949,-2.0064,-2.0064,21
JVASP-30194,-3.14043,-3.14043,6
JVASP-150922,-0.14507,-0.14507,12
JVASP-53421,-0.09278,-0.09278,5
JVASP-95769,-0.56317,-0.56317,12
JVASP-62644,-3.00807,-3.00807,10
JVASP-30044,-1.42947,-1.42947,8
JVASP-126609,-0.60973,-0.60973,4
JVASP-79387,-0.71465,-0.71465,4
JVASP-12016,-0.66751,-0.66751,10
JVASP-21085,-2.03266,-2.03266,15
JVASP-21242,-1.14644,-1.14644,20
JVASP-57678,-1.02661,-1.02661,14
JVASP-128108,-0.26203,-0.26203,4
JVASP-155565,-2.28041,-2.28041,7
JVASP-146032,-0.70107,-0.70107,17
JVASP-127441,0.02536,0.02536,8
JVASP-135716,0.09196,0.09196,3
JVASP-39639,0.42621,0.42621,4
JVASP-92883,0.16443,0.16443,8
JVASP-144600,-0.36939,-0.36939,12
JVASP-132951,-2.6808,-2.6808,18
JVASP-31796,-0.5444,-0.5444,6
JVASP-146993,-1.60083,-1.60083,24
JVASP-71671,0.30974,0.30974,4
JVASP-138721,-0.73034,-0.73034,3
JVASP-77001,-0.20805,-0.20805,4
JVASP-20374,-0.60852,-0.60852,3
JVASP-66408,0.96582,0.96582,3
JVASP-39971,-0.58379,-0.58379,4
JVASP-17161,0.13515,0.13515,4
JVASP-145678,-2.17804,-2.17804,28
JVASP-42336,-1.60633,-1.60633,24
JVASP-19103,-3.28354,-3.28354,28
JVASP-41876,-0.9535,-0.9535,4
JVASP-15468,-0.88575,-0.88575,5
JVASP-56722,-1.38003,-1.38003,20
JVASP-42437,-2.42361,-2.42361,18
JVASP-68178,0.96595,0.96595,4
JVASP-22821,-2.54095,-2.54095,22
JVASP-278,-0.37098,-0.37098,3
JVASP-150920,-0.94738,-0.94738,12
JVASP-10366,-1.23732,-1.23732,13
JVASP-15662,-0.48045,-0.48045,6
JVASP-156403,-0.44209,-0.44209,3
JVASP-20212,-0.12509,-0.12509,28
JVASP-17837,-0.15986,-0.15986,6
JVASP-145103,-0.51844,-0.51844,11
JVASP-129403,0.59676,0.59676,2
JVASP-154361,-0.03302,-0.03302,16
JVASP-120613,-1.99637,-1.99637,26
JVASP-68522,0.22342,0.22342,4
JVASP-25629,-2.97574,-2.97574,14
JVASP-141845,-1.80165,-1.80165,24
JVASP-141722,-0.50652,-0.50652,24
JVASP-79954,-0.28712,-0.28712,4
JVASP-157325,-0.37607,-0.37607,4
JVASP-70547,0.12384,0.12384,3
JVASP-128536,0.37906,0.37906,2
JVASP-122471,-1.91111,-1.91111,20
JVASP-136822,-0.31931,-0.31931,3
JVASP-57394,-1.71289,-1.71289,15
JVASP-39772,-0.29471,-0.29471,4
JVASP-126753,0.72459,0.72459,2
JVASP-155686,-0.47639,-0.47639,5
JVASP-152555,-1.71705,-1.71705,12
JVASP-29444,-1.16644,-1.16644,5
JVASP-56324,-0.40506,-0.40506,24
JVASP-14629,0.01475,0.01475,8
JVASP-140804,-1.2976,-1.2976,16
JVASP-150567,-0.87141,-0.87141,10
JVASP-156203,-0.50524,-0.50524,8
JVASP-121792,-1.86494,-1.86494,24
JVASP-44714,-1.60693,-1.60693,20
JVASP-27600,-1.72063,-1.72063,28
JVASP-111289,-0.29901,-0.29901,8
JVASP-97581,-2.87918,-2.87918,14
JVASP-37155,-1.38701,-1.38701,4
JVASP-8279,0.16177,0.16177,6
JVASP-137788,-1.75525,-1.75525,2
JVASP-36983,-1.06049,-1.06049,10
JVASP-114605,0.38462,0.38462,3
JVASP-116697,-1.19702,-1.19702,24
JVASP-132837,-2.65534,-2.65534,26
JVASP-141328,-1.1624,-1.1624,26
JVASP-92771,-0.85197,-0.85197,5
JVASP-35931,-0.78893,-0.78893,6
JVASP-99856,0.00219,0.00219,8
JVASP-119431,-0.7373,-0.7373,16
JVASP-151172,-2.77151,-2.77151,11
JVASP-98052,-3.05094,-3.05094,28
JVASP-8175,-3.15163,-3.15163,7
JVASP-13963,-3.92817,-3.92817,12
JVASP-67821,0.09061,0.09061,4
JVASP-78686,-0.22043,-0.22043,2
JVASP-35531,-0.07283,-0.07283,7
JVASP-126433,-0.31626,-0.31626,4
JVASP-28624,-0.398,-0.398,12
JVASP-71941,-0.3346,-0.3346,4
JVASP-106509,-0.38909,-0.38909,4
JVASP-21547,-2.84504,-2.84504,40
JVASP-38940,-0.06623,-0.06623,4
JVASP-109724,-0.50479,-0.50479,10
JVASP-50937,-2.13602,-2.13602,14
JVASP-64914,0.52985,0.52985,6
JVASP-17991,-0.34498,-0.34498,4
JVASP-152921,-1.00344,-1.00344,15
JVASP-15981,-0.34,-0.34,5
JVASP-41311,-0.3074,-0.3074,4
JVASP-157229,-0.48951,-0.48951,4
JVASP-49375,-1.39287,-1.39287,24
JVASP-81956,0.07945,0.07945,4
JVASP-96849,-1.38766,-1.38766,40
JVASP-140658,-1.95944,-1.95944,30
JVASP-129598,0.33493,0.33493,2
JVASP-129917,-0.18196,-0.18196,3
JVASP-123917,-0.01148,-0.01148,2
JVASP-99706,-2.95654,-2.95654,10
JVASP-20075,-0.74352,-0.74352,4
JVASP-38690,0.08266,0.08266,4
JVASP-113095,-0.63639,-0.63639,21
JVASP-119675,-0.03369,-0.03369,14
JVASP-133614,-1.77942,-1.77942,20
JVASP-101702,-1.69203,-1.69203,9
JVASP-108849,-0.97842,-0.97842,10
JVASP-157214,-0.05322,-0.05322,4
JVASP-144351,-0.67843,-0.67843,15
JVASP-52352,-1.49577,-1.49577,16
JVASP-150555,-2.89691,-2.89691,10
JVASP-51310,0.54092,0.54092,4
JVASP-97769,-1.07041,-1.07041,18
JVASP-134308,-1.40619,-1.40619,5
JVASP-75653,0.44622,0.44622,4
JVASP-114572,0.0377,0.0377,4
JVASP-39431,-0.89349,-0.89349,5
JVASP-25173,0.7229,0.7229,1
JVASP-141086,-0.72888,-0.72888,24
JVASP-112881,-0.61991,-0.61991,15
JVASP-12027,-1.76767,-1.76767,6
JVASP-69705,0.07094,0.07094,4
JVASP-106014,0.13861,0.13861,2
JVASP-153247,-0.72606,-0.72606,16
JVASP-59674,-2.03974,-2.03974,13
JVASP-18694,-0.65962,-0.65962,9
JVASP-118544,-0.10712,-0.10712,2
JVASP-57065,-1.51814,-1.51814,28
JVASP-8703,-0.18178,-0.18178,8
JVASP-111329,-0.11552,-0.11552,6
JVASP-135637,-0.86027,-0.86027,4
JVASP-106840,-0.71404,-0.71404,8
JVASP-37484,-0.00431,-0.00431,4
JVASP-39750,-0.28948,-0.28948,4
JVASP-62899,-0.32503,-0.32503,18
JVASP-2757,-1.06409,-1.06409,5
JVASP-40666,-3.04282,-3.04282,18
JVASP-125266,-0.33422,-0.33422,4
JVASP-39895,-0.29736,-0.29736,4
JVASP-98537,-2.12335,-2.12335,24
JVASP-50992,-1.16381,-1.16381,16
JVASP-114037,-0.97832,-0.97832,3
JVASP-19726,-0.06599,-0.06599,2
JVASP-147103,-1.66728,-1.66728,24
JVASP-134320,0.49032,0.49032,4
JVASP-19758,-1.63234,-1.63234,2
JVASP-69000,-0.82737,-0.82737,4
JVASP-113487,0.56441,0.56441,3
JVASP-79311,-0.96475,-0.96475,4
JVASP-46461,-1.97877,-1.97877,16
JVASP-123733,-0.29759,-0.29759,2
JVASP-87094,-1.0549,-1.0549,10
JVASP-109702,-0.49094,-0.49094,7
JVASP-99608,0.12816,0.12816,4
JVASP-112069,-0.06395,-0.06395,42
JVASP-112476,-1.19685,-1.19685,12
JVASP-65785,0.31958,0.31958,4
JVASP-87203,-0.26116,-0.26116,32
JVASP-147516,-1.60638,-1.60638,24
JVASP-104640,-2.16296,-2.16296,10
JVASP-57708,-0.93516,-0.93516,22
JVASP-101710,-0.80048,-0.80048,7
JVASP-86506,-3.48826,-3.48826,5
JVASP-109384,-0.17226,-0.17226,8
JVASP-37879,-0.73891,-0.73891,12
JVASP-40940,-0.04994,-0.04994,6
JVASP-12178,-0.92454,-0.92454,7
JVASP-49692,-2.17385,-2.17385,20
JVASP-117642,-0.3286,-0.3286,4
JVASP-105745,0.25063,0.25063,4
JVASP-134185,-0.32278,-0.32278,3
JVASP-12354,-1.2641,-1.2641,16
JVASP-89182,-3.05017,-3.05017,28
JVASP-70240,0.55234,0.55234,4
JVASP-77410,-0.76919,-0.76919,4
JVASP-68369,0.55025,0.55025,4
JVASP-86783,-1.60391,-1.60391,16
JVASP-139797,-1.95837,-1.95837,30
JVASP-93419,-0.28685,-0.28685,6
JVASP-144303,-0.88895,-0.88895,22
JVASP-39748,-1.20324,-1.20324,4
JVASP-117286,-2.6775,-2.6775,18
