jid,bulk_modulus_kv,target,num_atoms
JVASP-3258,121.26,121.26,5
JVASP-90229,108.09,108.09,9
JVASP-12162,13.12,13.12,6
JVASP-1840,46.4,46.4,4
JVASP-14615,69.93,69.93,1
JVASP-15832,26.87,26.87,6
JVASP-50108,59.57,59.57,10
JVASP-19923,50.2,50.2,2
JVASP-5065,52.68,52.68,6
JVASP-3099,37.11,37.11,9
JVASP-64987,16.1,16.1,6
JVASP-64317,12.93,12.93,6
JVASP-18887,28.59,28.59,3
JVASP-4510,27.44,27.44,12
JVASP-90534,29.5,29.5,9
JVASP-50936,80.33,80.33,4
JVASP-50811,96.81,96.81,4
JVASP-3177,191.9,191.9,5
JVASP-243,32.47,32.47,6
JVASP-98189,93.6,93.6,6
JVASP-18823,70.11,70.11,4
JVASP-3117,139.41,139.41,8
JVASP-65030,171.82,171.82,4
JVASP-36852,126.03,126.03,8
JVASP-91567,75.43,75.43,8
JVASP-64331,12.67,12.67,6
JVASP-48579,23.67,23.67,20
JVASP-64873,10.8,10.8,6
JVASP-64680,6.33,6.33,3
JVASP-89269,152.57,152.57,24
JVASP-16084,299.2,299.2,1
JVASP-22559,117.37,117.37,10
JVASP-64955,66.33,66.33,3
JVASP-65071,17.23,17.23,6
JVASP-14833,12.63,12.63,1
JVASP-85370,264.47,264.47,6
JVASP-64993,111.37,111.37,4
JVASP-65108,34.84,34.84,4
JVASP-64738,12.0,12.0,6
JVASP-22517,40.47,40.47,8
JVASP-86104,62.71,62.71,15
JVASP-14619,201.37,201.37,1
JVASP-85928,21.43,21.43,16
JVASP-18513,93.16,93.16,4
JVASP-64915,144.62,144.62,4
JVASP-64610,14.17,14.17,6
JVASP-14790,162.3,162.3,2
JVASP-37034,173.6,173.6,4
JVASP-22645,32.66,32.66,7
JVASP-37050,140.0,140.0,4
JVASP-37036,106.7,106.7,4
JVASP-37190,203.33,203.33,4
JVASP-41448,147.4,147.4,4
JVASP-26,41.01,41.01,4
JVASP-86900,16.88,16.88,14
JVASP-29226,26.47,26.47,22
JVASP-86323,138.08,138.08,6
JVASP-91849,74.01,74.01,8
JVASP-15734,142.24,142.24,8
JVASP-37208,238.9,238.9,5
JVASP-48167,142.7,142.7,12
JVASP-38310,76.73,76.73,5
JVASP-86443,86.26,86.26,13
JVASP-49837,125.3,125.3,20
JVASP-91565,113.28,113.28,8
JVASP-16139,185.84,185.84,4
JVASP-38201,9.07,9.07,4
JVASP-52342,51.73,51.73,12
JVASP-38246,8.64,8.64,4
JVASP-48577,23.24,23.24,10
JVASP-86206,14.37,14.37,16
JVASP-12124,51.61,51.61,18
JVASP-15113,227.59,227.59,9
JVASP-28637,6.79,6.79,12
JVASP-42301,32.11,32.11,20
JVASP-85272,396.5,396.5,7
JVASP-48311,58.6,58.6,12
JVASP-86155,19.12,19.12,16
JVASP-16081,91.4,91.4,1
JVASP-89267,138.24,138.24,12
JVASP-38614,86.37,86.37,5
JVASP-64910,115.76,115.76,4
JVASP-14998,105.47,105.47,3
JVASP-15432,207.89,207.89,9
JVASP-14915,70.6,70.6,1
JVASP-37046,127.17,127.17,4
JVASP-91891,42.3,42.3,8
JVASP-14958,76.67,76.67,2
JVASP-589,45.67,45.67,3
JVASP-3753,22.5,22.5,6
JVASP-91612,17.48,17.48,8
JVASP-91750,29.67,29.67,8
JVASP-91993,166.3,166.3,8
JVASP-64878,113.14,113.14,4
JVASP-3657,19.13,19.13,9
JVASP-91944,50.43,50.43,8
JVASP-91852,232.13,232.13,8
JVASP-53082,25.86,25.86,4
JVASP-64144,10.8,10.8,6
JVASP-18656,85.18,85.18,4
JVASP-64334,9.37,9.37,3
JVASP-64739,11.4,11.4,6
JVASP-64994,197.33,197.33,6
JVASP-65109,42.24,42.24,3
JVASP-43066,157.52,157.52,6
JVASP-12049,47.47,47.47,6
JVASP-90860,190.9,190.9,8
JVASP-90718,60.16,60.16,8
JVASP-42666,10.2,10.2,8
JVASP-1759,-9.49,-9.49,2
JVASP-28356,36.81,36.81,4
JVASP-43637,52.39,52.39,9
JVASP-1222,193.63,193.63,15
JVASP-64391,15.8,15.8,6
JVASP-37028,170.63,170.63,4
JVASP-64205,12.77,12.77,6
JVASP-90773,86.38,86.38,8
JVASP-86784,63.44,63.44,12
JVASP-65074,131.03,131.03,3
JVASP-4603,30.87,30.87,10
JVASP-14834,33.27,33.27,1
JVASP-22621,24.0,24.0,9
JVASP-88017,84.82,84.82,6
JVASP-64392,9.03,9.03,3
JVASP-16085,308.17,308.17,1
JVASP-64995,103.13,103.13,4
JVASP-91798,114.57,114.57,8
JVASP-85283,9.91,9.91,16
JVASP-64917,217.97,217.97,4
JVASP-85669,12.07,12.07,16
JVASP-87109,36.28,36.28,16
JVASP-91526,46.0,46.0,8
JVASP-22560,66.31,66.31,5
JVASP-65075,45.89,45.89,4
JVASP-1396,63.23,63.23,2
JVASP-85717,162.53,162.53,12
JVASP-87220,28.44,28.44,9
JVASP-64880,178.13,178.13,6
JVASP-64550,13.03,13.03,6
JVASP-49953,167.26,167.26,20
JVASP-90816,43.28,43.28,8
JVASP-75,59.89,59.89,6
JVASP-86506,206.63,206.63,5
JVASP-86682,76.34,76.34,12
JVASP-64465,12.5,12.5,6
JVASP-42811,62.47,62.47,9
JVASP-64393,12.0,12.0,3
JVASP-15346,134.22,134.22,5
JVASP-64063,9.53,9.53,3
JVASP-64750,15.8,15.8,6
JVASP-14620,45.19,45.19,1
JVASP-18826,207.53,207.53,4
JVASP-12019,79.16,79.16,3
JVASP-65076,39.44,39.44,3
JVASP-48933,29.32,29.32,6
JVASP-22649,16.67,16.67,9
JVASP-1291,139.4,139.4,2
JVASP-64150,8.67,8.67,6
JVASP-64918,138.67,138.67,6
JVASP-14699,43.72,43.72,4
JVASP-28357,61.77,61.77,6
JVASP-2026,26.6,26.6,3
JVASP-64816,14.5,14.5,6
JVASP-64208,14.9,14.9,6
JVASP-64689,11.73,11.73,6
JVASP-15183,145.38,145.38,5
JVASP-64466,6.87,6.87,3
JVASP-85372,103.59,103.59,8
JVASP-87050,114.19,114.19,7
JVASP-91704,191.97,191.97,8
JVASP-91945,44.37,44.37,8
JVASP-65035,154.1,154.1,6
JVASP-64622,14.43,14.43,6
JVASP-89906,146.94,146.94,9
JVASP-64397,4.43,4.43,3
JVASP-64559,19.37,19.37,6
JVASP-23437,124.76,124.76,9
JVASP-1248,58.67,58.67,2
JVASP-64961,201.3,201.3,6
JVASP-22622,127.32,127.32,7
JVASP-64284,12.07,12.07,6
JVASP-15302,107.61,107.61,5
JVASP-64340,9.97,9.97,6
JVASP-91854,72.73,72.73,8
JVASP-38157,23.54,23.54,6
JVASP-63938,11.87,11.87,3
JVASP-90719,48.2,48.2,8
JVASP-86907,-0.0,-0.0,18
JVASP-91895,38.49,38.49,8
JVASP-32,241.28,241.28,10
JVASP-64825,6.13,6.13,3
JVASP-15347,97.74,97.74,5
JVASP-64997,93.83,93.83,6
JVASP-64069,16.6,16.6,3
JVASP-14621,15.58,15.58,2
JVASP-88019,100.83,100.83,3
JVASP-14939,120.33,120.33,4
JVASP-64155,9.43,9.43,3
JVASP-86450,88.57,88.57,11
JVASP-86038,127.36,127.36,18
JVASP-64883,204.67,204.67,4
JVASP-63988,15.03,15.03,3
JVASP-16219,81.43,81.43,5
JVASP-64560,11.4,11.4,6
JVASP-86596,11.69,11.69,8
JVASP-65036,45.73,45.73,6
JVASP-64212,13.17,13.17,6
JVASP-14836,41.0,41.0,1
JVASP-91799,20.47,20.47,8
JVASP-3324,75.83,75.83,5
JVASP-90775,84.19,84.19,8
JVASP-85718,38.89,38.89,5
JVASP-64346,17.6,17.6,4
JVASP-64630,14.1,14.1,6
JVASP-65117,195.48,195.48,3
JVASP-64119,10.43,10.43,3
JVASP-2029,12.92,12.92,4
JVASP-64289,14.97,14.97,6
JVASP-161,14.3,14.3,3
JVASP-64484,17.8,17.8,6
JVASP-64700,14.43,14.43,6
JVASP-86855,55.29,55.29,4
JVASP-2133,43.84,43.84,8
JVASP-64564,56.17,56.17,6
JVASP-85471,19.99,19.99,18
JVASP-85671,69.19,69.19,18
JVASP-64402,11.3,11.3,6
JVASP-64830,7.53,7.53,3
JVASP-64076,17.37,17.37,6
JVASP-89981,107.36,107.36,9
JVASP-49782,118.74,118.74,7
JVASP-85931,22.3,22.3,8
JVASP-64887,177.33,177.33,6
JVASP-86106,35.59,35.59,16
JVASP-1399,27.03,27.03,3
JVASP-65087,0.0,0.0,4
JVASP-91752,339.54,339.54,8
JVASP-22588,16.8,16.8,16
JVASP-32220,16.13,16.13,20
JVASP-64998,149.97,149.97,6
JVASP-64767,8.93,8.93,3
JVASP-64565,6.03,6.03,3
JVASP-64036,10.07,10.07,3
JVASP-15304,177.1,177.1,4
JVASP-64704,20.8,20.8,4
JVASP-64406,15.93,15.93,6
JVASP-43531,63.04,63.04,12
JVASP-4216,41.76,41.76,12
JVASP-14837,183.4,183.4,1
JVASP-14938,31.12,31.12,4
JVASP-65122,47.57,47.57,4
JVASP-15348,141.2,141.2,3
JVASP-48807,83.59,83.59,14
JVASP-86451,3.83,3.83,6
JVASP-91801,34.38,34.38,8
JVASP-88846,39.29,39.29,2
JVASP-64296,65.31,65.31,4
JVASP-42891,109.53,109.53,4
JVASP-64636,15.37,15.37,6
JVASP-64566,13.2,13.2,6
JVASP-65124,84.94,84.94,6
JVASP-64411,42.95,42.95,6
JVASP-90121,130.83,130.83,9
JVASP-64840,11.37,11.37,6
JVASP-64967,57.43,57.43,4
JVASP-65042,16.97,16.97,6
JVASP-87132,193.37,193.37,4
JVASP-90635,154.3,154.3,8
JVASP-64771,11.97,11.97,6
JVASP-64889,83.49,83.49,4
JVASP-64925,114.7,114.7,4
JVASP-64127,15.9,15.9,6
JVASP-85373,92.53,92.53,5
JVASP-85795,31.73,31.73,18
JVASP-90545,110.58,110.58,8
JVASP-91855,39.49,39.49,8
JVASP-89050,1.58,1.58,12
JVASP-64225,12.4,12.4,6
JVASP-64083,15.87,15.87,6
JVASP-91528,117.24,117.24,8
JVASP-65139,202.01,202.01,3
JVASP-65002,154.6,154.6,4
JVASP-65090,50.37,50.37,6
JVASP-64843,10.57,10.57,6
JVASP-1762,66.04,66.04,4
JVASP-64300,13.23,13.23,6
JVASP-14622,46.89,46.89,4
JVASP-64362,12.4,12.4,6
JVASP-65043,12.27,12.27,6
JVASP-1174,61.93,61.93,2
JVASP-90720,236.47,236.47,8
JVASP-15074,155.86,155.86,6
JVASP-64709,9.5,9.5,6
JVASP-90347,59.67,59.67,9
JVASP-64175,12.97,12.97,6
JVASP-64776,10.27,10.27,3
JVASP-64969,110.26,110.26,4
JVASP-90776,14.53,14.53,8
JVASP-64845,10.7,10.7,3
JVASP-15593,99.64,99.64,6
JVASP-22516,142.4,142.4,6
JVASP-4609,30.78,30.78,10
JVASP-64890,148.03,148.03,6
JVASP-85719,100.49,100.49,8
JVASP-65044,62.17,62.17,6
JVASP-64418,7.93,7.93,3
JVASP-22651,24.03,24.03,12
JVASP-65003,135.11,135.11,4
JVASP-18615,48.4,48.4,4
JVASP-1180,126.27,126.27,4
JVASP-16934,182.7,182.7,5
JVASP-12163,14.93,14.93,6
JVASP-14937,76.73,76.73,2
JVASP-43766,67.12,67.12,9
JVASP-85672,7.4,7.4,13
JVASP-65046,52.44,52.44,6
JVASP-4918,38.18,38.18,8
JVASP-65256,48.47,48.47,4
JVASP-65129,2.38,2.38,6
JVASP-15981,49.11,49.11,5
JVASP-65182,151.3,151.3,6
JVASP-65093,20.1,20.1,6
JVASP-64303,189.13,189.13,4
JVASP-65216,99.75,99.75,6
JVASP-64366,13.17,13.17,6
JVASP-64970,186.33,186.33,6
JVASP-91706,71.94,71.94,8
JVASP-64852,15.03,15.03,4
JVASP-64578,15.73,15.73,6
JVASP-87116,82.26,82.26,14
JVASP-22624,49.53,49.53,7
JVASP-12110,74.37,74.37,6
JVASP-3834,19.5,19.5,9
JVASP-86163,40.06,40.06,16
JVASP-64891,125.0,125.0,4
JVASP-64712,10.93,10.93,6
JVASP-65143,196.17,196.17,6
JVASP-86108,18.7,18.7,18
JVASP-85570,25.59,25.59,16
JVASP-14623,47.57,47.57,2
JVASP-86910,13.38,13.38,16
JVASP-5167,108.91,108.91,4
JVASP-65094,0.0,0.0,4
JVASP-1696,36.97,36.97,3
JVASP-3180,24.32,24.32,8
JVASP-64367,12.4,12.4,6
JVASP-42256,180.32,180.32,6
JVASP-85934,56.91,56.91,18
JVASP-91802,27.06,27.06,8
JVASP-65130,122.09,122.09,3
JVASP-64931,180.62,180.62,4
JVASP-65294,39.83,39.83,6
JVASP-91571,113.69,113.69,8
JVASP-3756,23.4,23.4,9
JVASP-91617,183.77,183.77,8
JVASP-65144,55.46,55.46,3
JVASP-15696,78.41,78.41,6
JVASP-22518,15.34,15.34,10
JVASP-14840,36.42,36.42,2
JVASP-48662,68.03,68.03,9
JVASP-86217,40.31,40.31,8
JVASP-23438,84.5,84.5,8
JVASP-61470,56.74,56.74,8
JVASP-12014,0.0,0.0,6
JVASP-86789,24.12,24.12,8
JVASP-64972,202.97,202.97,6
JVASP-87128,169.43,169.43,4
JVASP-91856,35.77,35.77,8
JVASP-64715,15.57,15.57,6
JVASP-5170,40.47,40.47,4
JVASP-42321,56.2,56.2,24
JVASP-85799,7.08,7.08,16
JVASP-14960,191.2,191.2,8
JVASP-64932,146.97,146.97,6
JVASP-91707,40.41,40.41,8
JVASP-64581,13.9,13.9,6
JVASP-3492,19.49,19.49,8
JVASP-86040,86.84,86.84,10
JVASP-38244,6.03,6.03,4
JVASP-64312,51.06,51.06,6
JVASP-61682,186.47,186.47,9
JVASP-65260,71.7,71.7,3
JVASP-91755,20.4,20.4,8
JVASP-22625,18.07,18.07,16
JVASP-97696,16.13,16.13,28
JVASP-86740,49.22,49.22,6
JVASP-3837,46.88,46.88,6
JVASP-64718,11.73,11.73,6
JVASP-90721,140.98,140.98,8
JVASP-64973,124.02,124.02,4
JVASP-85300,86.46,86.46,5
JVASP-65132,73.73,73.73,4
JVASP-90865,77.04,77.04,8
JVASP-14876,116.78,116.78,4
JVASP-64934,217.73,217.73,6
JVASP-3183,72.69,72.69,8
JVASP-91663,171.36,171.36,8
JVASP-22519,33.78,33.78,8
JVASP-65052,138.9,138.9,6
JVASP-4924,170.52,170.52,4
JVASP-61992,141.19,141.19,5
JVASP-86687,75.11,75.11,15
JVASP-65221,18.9,18.9,6
JVASP-15834,38.94,38.94,6
JVASP-85675,78.2,78.2,15
JVASP-22563,49.06,49.06,5
JVASP-65009,47.47,47.47,6
JVASP-3402,84.67,84.67,5
JVASP-14843,34.56,34.56,4
JVASP-20086,282.73,282.73,8
JVASP-87117,116.97,116.97,18
JVASP-65363,36.33,36.33,4
JVASP-89911,153.04,153.04,9
JVASP-65148,182.74,182.74,3
JVASP-21524,20.07,20.07,30
JVASP-85573,69.97,69.97,12
JVASP-23439,86.33,86.33,16
JVASP-15075,277.67,277.67,2
JVASP-64974,136.47,136.47,4
JVASP-36936,97.29,97.29,10
JVASP-14961,82.22,82.22,3
JVASP-64936,178.0,178.0,6
JVASP-64895,204.93,204.93,4
JVASP-91531,30.53,30.53,8
JVASP-89307,89.51,89.51,6
JVASP-86860,15.34,15.34,8
JVASP-54353,301.22,301.22,6
JVASP-65298,6.63,6.63,6
JVASP-16045,38.73,38.73,5
JVASP-15221,171.27,171.27,4
JVASP-86109,74.88,74.88,6
JVASP-65222,201.87,201.87,6
JVASP-86453,168.87,168.87,14
JVASP-18657,95.64,95.64,3
JVASP-585,49.92,49.92,3
JVASP-22589,84.07,84.07,5
JVASP-65190,46.87,46.87,6
JVASP-87130,106.57,106.57,4
JVASP-65010,83.8,83.8,6
JVASP-65137,62.92,62.92,6
JVASP-64975,70.8,70.8,4
JVASP-85723,54.1,54.1,19
JVASP-61252,149.58,149.58,9
JVASP-65426,32.34,32.34,4
JVASP-62006,141.29,141.29,5
JVASP-91857,107.44,107.44,8
JVASP-86791,37.41,37.41,17
JVASP-14625,257.1,257.1,8
JVASP-85676,0.0,0.0,18
JVASP-61484,156.06,156.06,9
JVASP-87925,110.91,110.91,9
JVASP-91708,215.7,215.7,8
JVASP-90639,42.94,42.94,8
JVASP-47983,122.66,122.66,11
JVASP-90125,190.87,190.87,9
JVASP-86612,29.76,29.76,14
JVASP-87060,58.83,58.83,6
JVASP-65011,88.01,88.01,6
JVASP-5173,14.74,14.74,3
JVASP-15433,110.69,110.69,5
JVASP-14844,35.17,35.17,1
JVASP-65224,11.73,11.73,6
JVASP-20087,179.37,179.37,2
JVASP-14587,104.73,104.73,1
JVASP-65373,38.7,38.7,4
JVASP-92163,22.26,22.26,8
JVASP-12111,34.62,34.62,12
JVASP-85478,93.14,93.14,12
JVASP-48666,16.96,16.96,9
JVASP-12164,13.42,13.42,8
JVASP-64939,215.83,215.83,6
JVASP-87240,32.46,32.46,30
JVASP-86219,17.86,17.86,18
JVASP-90779,89.92,89.92,8
JVASP-62735,84.13,84.13,24
JVASP-90470,22.96,22.96,8
JVASP-3537,42.44,42.44,6
JVASP-85301,15.29,15.29,16
JVASP-3843,26.28,26.28,6
JVASP-4406,90.1,90.1,3
JVASP-48321,54.99,54.99,12
JVASP-90640,79.07,79.07,8
JVASP-85381,39.12,39.12,9
JVASP-65152,27.91,27.91,6
JVASP-85937,150.66,150.66,10
JVASP-15000,175.1,175.1,2
JVASP-91573,150.89,150.89,8
JVASP-14845,16.6,16.6,1
JVASP-62415,15.0,15.0,22
JVASP-91804,22.83,22.83,8
JVASP-65303,45.33,45.33,6
JVASP-65192,140.1,140.1,6
JVASP-14626,41.94,41.94,2
JVASP-65376,38.03,38.03,4
JVASP-86165,354.63,354.63,12
JVASP-65432,15.87,15.87,4
JVASP-64899,64.82,64.82,4
JVASP-91532,43.09,43.09,8
JVASP-42554,48.0,48.0,16
JVASP-88026,106.73,106.73,12
JVASP-91757,65.1,65.1,8
JVASP-90247,283.86,283.86,9
JVASP-61729,35.27,35.27,16
JVASP-37884,36.67,36.67,8
JVASP-48406,42.62,42.62,16
JVASP-64940,70.6,70.6,4
JVASP-86110,19.07,19.07,12
JVASP-65153,142.44,142.44,3
JVASP-89319,16.76,16.76,14
JVASP-65226,196.29,196.29,3
JVASP-14758,141.94,141.94,4
JVASP-21525,63.48,63.48,30
JVASP-65504,62.16,62.16,4
JVASP-14656,82.33,82.33,6
JVASP-14578,193.3,193.3,6
JVASP-65193,222.24,222.24,3
JVASP-90358,40.71,40.71,9
JVASP-14846,17.17,17.17,1
JVASP-86988,40.81,40.81,8
JVASP-42911,96.06,96.06,14
JVASP-22704,118.42,118.42,8
JVASP-89056,170.83,170.83,9
JVASP-87131,161.83,161.83,4
JVASP-87927,128.5,128.5,5
JVASP-97470,165.74,165.74,28
JVASP-28364,0.0,0.0,5
JVASP-92215,65.06,65.06,8
JVASP-85679,22.57,22.57,10
JVASP-61260,187.66,187.66,16
JVASP-15637,219.23,219.23,4
JVASP-86792,21.42,21.42,14
JVASP-14628,124.7,124.7,1
JVASP-15480,160.63,160.63,4
JVASP-15001,46.08,46.08,4
JVASP-1402,41.0,41.0,2
JVASP-85815,129.74,129.74,14
JVASP-3846,26.68,26.68,6
JVASP-65435,39.78,39.78,4
JVASP-90825,14.93,14.93,8
JVASP-62041,16.13,16.13,24
JVASP-14588,348.07,348.07,1
JVASP-90550,75.68,75.68,8
JVASP-65381,60.93,60.93,4
JVASP-5347,46.48,46.48,4
JVASP-14057,54.53,54.53,8
JVASP-90058,184.61,184.61,9
JVASP-87061,113.42,113.42,16
JVASP-1363,183.27,183.27,2
JVASP-65542,89.2,89.2,4
JVASP-64980,97.13,97.13,3
JVASP-22592,35.76,35.76,7
JVASP-86745,4.55,4.55,12
JVASP-65271,96.82,96.82,3
JVASP-12015,31.4,31.4,10
JVASP-65155,114.77,114.77,6
JVASP-14759,102.07,102.07,4
JVASP-62904,120.31,120.31,22
JVASP-65306,14.6,14.6,6
JVASP-18616,56.17,56.17,4
JVASP-65508,51.6,51.6,4
JVASP-22705,45.24,45.24,7
JVASP-85302,15.53,15.53,18
JVASP-85481,185.48,185.48,10
JVASP-91574,124.89,124.89,8
JVASP-14792,226.44,226.44,6
JVASP-28366,37.12,37.12,5
JVASP-97325,10.24,10.24,8
JVASP-14847,81.6,81.6,8
JVASP-85382,83.58,83.58,9
JVASP-91711,42.62,42.62,8
JVASP-85938,18.22,18.22,16
JVASP-62045,19.6,19.6,8
JVASP-65437,98.66,98.66,4
JVASP-86457,104.41,104.41,5
JVASP-17252,49.29,49.29,3
JVASP-65230,45.03,45.03,6
JVASP-64981,125.97,125.97,6
JVASP-3543,35.98,35.98,6
JVASP-91859,96.18,96.18,8
JVASP-52568,219.37,219.37,3
JVASP-18828,95.63,95.63,5
JVASP-21527,20.33,20.33,32
JVASP-14878,335.1,335.1,2
JVASP-87062,193.0,193.0,12
JVASP-62756,244.83,244.83,4
JVASP-65509,35.81,35.81,4
JVASP-86518,21.49,21.49,18
JVASP-22593,28.23,28.23,9
JVASP-65383,87.31,87.31,4
JVASP-62276,214.23,214.23,4
JVASP-19858,62.63,62.63,2
JVASP-15002,176.61,176.61,8
JVASP-65545,21.5,21.5,4
JVASP-12036,36.1,36.1,4
JVASP-90642,68.6,68.6,8
JVASP-89320,15.1,15.1,14
JVASP-65018,69.44,69.44,3
JVASP-5353,19.51,19.51,12
JVASP-14589,210.57,210.57,1
JVASP-89992,124.6,124.6,9
JVASP-14629,17.17,17.17,8
JVASP-1405,114.93,114.93,2
JVASP-62906,240.91,240.91,8
JVASP-3849,16.12,16.12,8
JVASP-65619,90.81,90.81,4
JVASP-65584,17.48,17.48,4
JVASP-65157,150.13,150.13,6
JVASP-22565,47.82,47.82,8
JVASP-92216,54.51,54.51,8
JVASP-87928,113.28,113.28,5
JVASP-86921,161.48,161.48,12
JVASP-12165,41.51,41.51,6
JVASP-61768,67.9,67.9,12
JVASP-98484,171.03,171.03,20
JVASP-65510,55.39,55.39,4
JVASP-98606,35.87,35.87,24
JVASP-1699,114.43,114.43,3
JVASP-14156,86.36,86.36,12
JVASP-61272,21.52,21.52,12
JVASP-43549,63.64,63.64,12
JVASP-85680,15.09,15.09,18
JVASP-85597,25.5,25.5,8
JVASP-65656,13.8,13.8,4
JVASP-22672,15.27,15.27,4
JVASP-91668,19.57,19.57,8
JVASP-14879,164.57,164.57,6
JVASP-60924,22.9,22.9,16
JVASP-65585,84.79,84.79,4
JVASP-3546,16.86,16.86,7
JVASP-12118,35.81,35.81,10
JVASP-28367,39.11,39.11,5
JVASP-65443,38.16,38.16,4
JVASP-85731,19.71,19.71,12
JVASP-85817,165.37,165.37,10
JVASP-16086,106.53,106.53,1
JVASP-65620,19.23,19.23,4
JVASP-16046,175.43,175.43,5
JVASP-14590,112.02,112.02,2
JVASP-17253,98.52,98.52,3
JVASP-65547,23.77,23.77,4
JVASP-89919,176.24,176.24,9
JVASP-61785,74.37,74.37,8
JVASP-65511,126.27,126.27,4
JVASP-18403,70.83,70.83,3
JVASP-65235,101.11,101.11,6
JVASP-86112,18.41,18.41,12
JVASP-14630,200.37,200.37,1
JVASP-92166,193.13,193.13,8
JVASP-91575,15.62,15.62,8
JVASP-62279,13.62,13.62,24
JVASP-1408,50.43,50.43,2
JVASP-91623,419.28,419.28,8
