jid,ehull,target,num_atoms
JVASP-50396,0.0482,0.0482,22
JVASP-88009,0.0,0.0,20
JVASP-13907,0.0,0.0,42
JVASP-86274,0.0,0.0,14
JVASP-44064,0.0165,0.0165,12
JVASP-88825,0.0,0.0,28
JVASP-90768,0.0232,0.0232,8
JVASP-42657,0.028,0.028,6
JVASP-4492,0.0,0.0,12
JVASP-15181,0.0,0.0,5
JVASP-97576,0.0109,0.0109,23
JVASP-98799,0.0922,0.0922,76
JVASP-52341,0.0562,0.0562,12
JVASP-13976,0.2507,0.2507,18
JVASP-65063,0.6236,0.6236,6
JVASP-52783,0.0305,0.0305,28
JVASP-91890,0.0792,0.0792,8
JVASP-44255,0.0442,0.0442,18
JVASP-98090,0.0,0.0,48
JVASP-91848,0.2243,0.2243,8
JVASP-48310,0.0,0.0,26
JVASP-91794,0.0117,0.0117,8
JVASP-42804,0.0062,0.0062,16
JVASP-86845,0.1013,0.1013,8
JVASP-97500,0.3422,0.3422,24
JVASP-52477,0.0,0.0,24
JVASP-15431,0.0162,0.0162,5
JVASP-48462,0.1443,0.1443,8
JVASP-91939,0.0284,0.0284,8
JVASP-14740,0.0,0.0,4
JVASP-47623,0.1197,0.1197,28
JVASP-85447,0.0,0.0,8
JVASP-90336,0.0,0.0,9
JVASP-107736,0.0,0.0,8
JVASP-41360,0.0,0.0,4
JVASP-42721,0.1552,0.1552,16
JVASP-65102,1.576,1.576,6
JVASP-86779,0.0,0.0,7
JVASP-86678,0.0,0.0,16
JVASP-64585,0.7949,0.7949,6
JVASP-49949,0.0549,0.0549,22
JVASP-91746,0.0,0.0,8
JVASP-97379,0.0,0.0,24
JVASP-86369,0.03,0.03,6
JVASP-91989,0.0,0.0,8
JVASP-86026,0.0658,0.0658,15
JVASP-85365,0.0097,0.0097,16
JVASP-42540,0.0,0.0,18
JVASP-88121,0.0,0.0,40
JVASP-48645,0.0716,0.0716,20
JVASP-90812,0.0,0.0,8
JVASP-48922,0.0637,0.0637,22
JVASP-88347,0.058,0.058,55
JVASP-38346,0.4368,0.4368,5
JVASP-85665,0.0,0.0,9
JVASP-38540,0.4593,0.4593,5
JVASP-4591,0.0,0.0,13
JVASP-86570,0.0,0.0,14
JVASP-38312,0.3443,0.3443,4
JVASP-98226,0.0,0.0,32
JVASP-85785,0.0,0.0,14
JVASP-87103,0.0,0.0,8
JVASP-38306,0.7489,0.7489,5
JVASP-42221,0.0244,0.0244,24
JVASP-85713,0.0002,0.0002,12
JVASP-87207,0.0121,0.0121,18
JVASP-90168,0.0399,0.0399,9
JVASP-37035,0.1494,0.1494,4
JVASP-97801,0.0,0.0,10
JVASP-64946,0.3723,0.3723,6
JVASP-85922,0.2106,0.2106,10
JVASP-98932,0.0168,0.0168,64
JVASP-85852,0.031,0.031,14
JVASP-14575,0.0,0.0,2
JVASP-98701,0.0,0.0,7
JVASP-22644,0.0004,0.0004,20
JVASP-64188,1.0051,1.0051,6
JVASP-88512,0.046,0.046,36
JVASP-90627,0.1465,0.1465,8
JVASP-86502,0.0156,0.0156,9
JVASP-63915,1.5885,1.5885,6
JVASP-37194,0.0082,0.0082,4
JVASP-37189,0.1207,0.1207,4
JVASP-37044,0.1586,0.1586,4
JVASP-38278,0.5618,0.5618,5
JVASP-19857,0.0,0.0,2
JVASP-38694,0.6589,0.6589,5
JVASP-37946,0.4519,0.4519,4
JVASP-37051,0.2185,0.2185,4
JVASP-38325,0.3301,0.3301,5
JVASP-64005,0.9374,0.9374,3
JVASP-15056,0.0,0.0,2
JVASP-38317,0.3523,0.3523,4
JVASP-64131,1.0378,1.0378,6
JVASP-37031,0.0465,0.0465,4
JVASP-98615,0.0,0.0,52
JVASP-14789,0.0,0.0,2
JVASP-98038,0.0,0.0,24
JVASP-28636,0.123,0.123,12
JVASP-97916,0.0,0.0,28
JVASP-18944,0.0,0.0,2
JVASP-64985,0.6836,0.6836,4
JVASP-64784,1.083,1.083,6
JVASP-64093,0.5501,0.5501,3
JVASP-98551,0.0323,0.0323,30
JVASP-39448,0.1373,0.1373,5
JVASP-37049,0.2089,0.2089,4
JVASP-15260,0.0,0.0,4
JVASP-64429,0.582,0.582,6
JVASP-87040,0.0,0.0,10
JVASP-16080,0.0,0.0,1
JVASP-14914,0.1148,0.1148,3
JVASP-37042,0.1879,0.1879,4
JVASP-107773,0.0,0.0,8
JVASP-50760,0.0557,0.0557,16
JVASP-37191,0.1476,0.1476,4
JVASP-37039,0.1134,0.1134,4
JVASP-97337,0.0,0.0,20
JVASP-64316,1.611,1.611,6
JVASP-37104,0.4311,0.4311,4
JVASP-64047,1.1147,1.1147,6
JVASP-38842,0.0,0.0,4
JVASP-64528,0.5476,0.5476,6
JVASP-64244,1.0897,1.0897,6
JVASP-14830,0.0,0.0,1
JVASP-64379,0.7511,0.7511,6
JVASP-98439,0.0283,0.0283,48
JVASP-37057,0.2004,0.2004,4
JVASP-63958,0.8494,0.8494,6
JVASP-64670,1.1908,1.1908,6
JVASP-97854,0.1824,0.1824,10
JVASP-11958,0.0,0.0,22
JVASP-36885,0.0,0.0,5
JVASP-97988,0.0,0.0,13
JVASP-1750,0.0,0.0,3
JVASP-64724,0.7637,0.7637,6
JVASP-36782,0.1322,0.1322,4
JVASP-64865,1.1426,1.1426,6
JVASP-36857,0.1977,0.1977,4
JVASP-37583,0.0507,0.0507,4
JVASP-39364,0.2855,0.2855,4
JVASP-98496,0.0,0.0,40
JVASP-28962,0.1705,0.1705,12
JVASP-64907,0.6093,0.6093,4
JVASP-65023,0.7352,0.7352,6
JVASP-36850,0.1427,0.1427,4
JVASP-91700,0.1926,0.1926,8
JVASP-36853,0.2055,0.2055,4
JVASP-98174,0.0,0.0,24
JVASP-107737,0.0,0.0,6
JVASP-90429,0.0,0.0,8
JVASP-323,0.0071,0.0071,3
JVASP-97429,0.0,0.0,36
JVASP-89958,0.0,0.0,9
JVASP-37300,0.5792,0.5792,5
JVASP-38181,0.4063,0.4063,5
JVASP-1198,0.0099,0.0099,2
JVASP-38289,0.6668,0.6668,5
JVASP-37387,0.25,0.25,4
JVASP-38327,0.6147,0.6147,5
JVASP-48092,0.0,0.0,18
JVASP-47532,0.0,0.0,12
JVASP-29105,0.0583,0.0583,12
JVASP-64586,0.6587,0.6587,6
JVASP-22557,0.1899,0.1899,4
JVASP-39275,0.169,0.169,4
JVASP-97624,0.0394,0.0394,28
JVASP-14757,0.0,0.0,1
JVASP-22671,0.246,0.246,4
JVASP-22514,0.2276,0.2276,6
JVASP-15478,0.0,0.0,4
JVASP-28353,0.0124,0.0124,3
JVASP-90115,0.1332,0.1332,9
JVASP-89035,0.0,0.0,14
JVASP-91521,0.0,0.0,8
JVASP-39244,0.7754,0.7754,5
JVASP-38332,0.7064,0.7064,5
JVASP-98291,0.052,0.052,52
JVASP-65065,0.6816,0.6816,6
JVASP-3648,0.0136,0.0136,6
JVASP-86727,0.0,0.0,6
JVASP-98702,0.0,0.0,12
JVASP-97502,0.1337,0.1337,36
JVASP-43624,0.0385,0.0385,24
JVASP-64132,1.6861,1.6861,6
JVASP-65103,1.0165,1.0165,6
JVASP-64006,0.8926,0.8926,6
JVASP-63916,1.4613,1.4613,6
JVASP-89902,0.0,0.0,9
JVASP-43427,0.0606,0.0606,6
JVASP-5485,0.0,0.0,6
JVASP-49894,0.0444,0.0444,5
JVASP-2017,0.0227,0.0227,4
JVASP-36921,0.0508,0.0508,5
JVASP-3396,0.0002,0.0002,8
JVASP-15528,0.0,0.0,4
JVASP-18822,0.0,0.0,4
JVASP-42402,0.0596,0.0596,13
JVASP-90857,0.0161,0.0161,8
JVASP-98355,0.0004,0.0004,48
JVASP-98801,0.0,0.0,30
JVASP-49776,0.0,0.0,12
JVASP-98091,0.4372,0.4372,36
JVASP-50691,0.0618,0.0618,28
JVASP-28566,0.0744,0.0744,9
JVASP-14223,0.0005,0.0005,48
JVASP-47765,0.1315,0.1315,18
JVASP-53075,0.0093,0.0093,8
JVASP-14874,0.0006,0.0006,8
JVASP-53439,0.0735,0.0735,7
JVASP-64788,0.8871,0.8871,6
JVASP-64189,0.7924,0.7924,6
JVASP-3258,0.0,0.0,5
JVASP-43740,0.0873,0.0873,10
JVASP-97577,0.0,0.0,5
JVASP-50007,0.0873,0.0873,18
JVASP-85460,0.015,0.015,14
JVASP-97739,0.0,0.0,22
JVASP-98227,0.0,0.0,24
JVASP-97338,0.0,0.0,40
JVASP-47963,0.0588,0.0588,12
JVASP-90229,0.0984,0.0984,9
JVASP-64094,0.9855,0.9855,6
JVASP-90715,0.0,0.0,8
JVASP-52889,0.0014,0.0014,14
JVASP-86099,0.0,0.0,18
JVASP-107776,0.2155,0.2155,5
JVASP-43081,0.0127,0.0127,12
JVASP-90041,0.0,0.0,9
JVASP-97802,0.0,0.0,10
JVASP-12162,0.067,0.067,6
JVASP-1840,0.0,0.0,4
JVASP-14615,0.0,0.0,1
JVASP-15832,0.3679,0.3679,6
JVASP-92195,0.1004,0.1004,8
JVASP-98445,0.0,0.0,50
JVASP-16932,0.3039,0.3039,4
JVASP-50108,0.0,0.0,10
JVASP-64437,1.077,1.077,6
JVASP-19923,0.0769,0.0769,2
JVASP-60703,0.0009,0.0009,24
JVASP-86969,0.0421,0.0421,6
JVASP-5065,0.0662,0.0662,6
JVASP-91654,0.0,0.0,8
JVASP-3099,0.0,0.0,9
JVASP-98616,0.0613,0.0613,25
JVASP-64247,1.0494,1.0494,6
JVASP-64987,0.7432,0.7432,6
JVASP-64380,0.8339,0.8339,6
JVASP-48464,0.0513,0.0513,24
JVASP-16114,0.0,0.0,6
JVASP-64317,0.9356,0.9356,6
JVASP-18887,0.0049,0.0049,3
JVASP-97920,0.0,0.0,26
JVASP-48384,0.0233,0.0233,24
JVASP-98175,0.0,0.0,22
JVASP-64530,0.6567,0.6567,6
JVASP-64671,0.8643,0.8643,6
JVASP-98556,0.0322,0.0322,24
JVASP-64725,0.5619,0.5619,6
JVASP-64866,0.7623,0.7623,6
JVASP-42660,0.0416,0.0416,14
JVASP-4510,0.0,0.0,12
JVASP-44065,0.0325,0.0325,6
JVASP-90534,0.0392,0.0392,9
JVASP-50936,0.0,0.0,4
JVASP-48750,0.0938,0.0938,10
JVASP-90582,0.1308,0.1308,8
JVASP-50811,0.0,0.0,4
JVASP-88834,0.0236,0.0236,28
JVASP-91609,0.0,0.0,8
JVASP-90337,0.063,0.063,9
JVASP-86781,0.0,0.0,14
JVASP-43524,0.1233,0.1233,20
JVASP-43844,0.0427,0.0427,28
JVASP-3177,0.0,0.0,5
JVASP-38492,0.4838,0.4838,8
JVASP-91657,0.1934,0.1934,8
JVASP-243,0.2355,0.2355,6
JVASP-98189,0.0,0.0,6
JVASP-18823,0.1489,0.1489,4
JVASP-87913,0.8686,0.8686,6
JVASP-90237,0.0,0.0,9
JVASP-89041,0.0,0.0,52
JVASP-46861,0.012,0.012,12
JVASP-88546,0.0,0.0,18
JVASP-3117,0.0,0.0,8
JVASP-65030,0.1804,0.1804,4
JVASP-90118,0.4344,0.4344,9
JVASP-36852,0.1424,0.1424,8
JVASP-86375,0.0,0.0,6
JVASP-64014,0.8781,0.8781,6
JVASP-97389,0.0605,0.0605,32
JVASP-91567,0.1224,0.1224,8
JVASP-64331,0.7234,0.7234,6
JVASP-92200,0.1284,0.1284,8
JVASP-90772,0.3747,0.3747,8
JVASP-97928,0.0,0.0,84
JVASP-88842,0.0,0.0,6
JVASP-98811,0.1961,0.1961,22
JVASP-90815,0.0572,0.0572,8
JVASP-86905,0.0,0.0,10
JVASP-42229,0.0775,0.0775,13
JVASP-64606,1.0081,1.0081,6
JVASP-86851,0.1213,0.1213,18
JVASP-97505,0.2446,0.2446,15
JVASP-49779,0.0217,0.0217,12
JVASP-48579,0.0164,0.0164,20
JVASP-90341,0.0006,0.0006,9
JVASP-98619,0.0672,0.0672,54
JVASP-86586,0.001,0.001,10
JVASP-97684,0.0,0.0,64
JVASP-64873,0.8796,0.8796,6
JVASP-63968,0.8652,0.8652,6
JVASP-98568,0.0,0.0,28
JVASP-86447,0.0821,0.0821,10
JVASP-63924,1.3641,1.3641,6
JVASP-97997,0.0,0.0,24
JVASP-86505,0.0,0.0,6
JVASP-64389,0.6689,0.6689,6
JVASP-64680,0.5671,0.5671,3
JVASP-64262,0.696,0.696,6
JVASP-97812,0.0,0.0,68
JVASP-98361,0.0061,0.0061,28
JVASP-98504,0.1366,0.1366,32
JVASP-64103,0.912,0.912,4
JVASP-42809,0.0143,0.0143,24
JVASP-64055,1.2046,1.2046,6
JVASP-64459,1.0354,1.0354,6
JVASP-42415,0.0251,0.0251,18
JVASP-85467,0.2007,0.2007,16
JVASP-89269,0.0,0.0,24
JVASP-48782,0.2018,0.2018,15
JVASP-107742,0.218,0.218,5
JVASP-98097,0.0,0.0,22
JVASP-64800,0.8606,0.8606,6
JVASP-64542,0.9194,0.9194,6
JVASP-16084,0.0,0.0,1
JVASP-97754,0.2521,0.2521,42
JVASP-22559,0.0856,0.0856,10
JVASP-98238,0.0,0.0,28
JVASP-5503,0.0,0.0,18
JVASP-43432,0.0675,0.0675,24
JVASP-64955,0.8875,0.8875,3
JVASP-65071,1.451,1.451,6
JVASP-97341,0.0,0.0,36
JVASP-14833,0.0,0.0,1
JVASP-85370,0.2788,0.2788,6
JVASP-48932,0.0,0.0,23
JVASP-64201,0.4221,0.4221,4
JVASP-64142,0.9518,0.9518,6
JVASP-64993,0.8568,0.8568,4
JVASP-48169,0.0,0.0,20
JVASP-90174,0.0,0.0,9
JVASP-22620,0.0361,0.0361,5
JVASP-65108,1.2041,1.2041,4
JVASP-107784,0.0,0.0,9
JVASP-98451,0.0,0.0,35
JVASP-48472,0.0816,0.0816,22
JVASP-91703,0.1306,0.1306,8
JVASP-86157,0.0,0.0,11
JVASP-64738,0.5857,0.5857,6
JVASP-87046,0.0,0.0,12
JVASP-22517,0.0,0.0,8
JVASP-97929,0.0,0.0,32
JVASP-64016,1.0625,1.0625,6
JVASP-97440,0.0233,0.0233,44
JVASP-97862,0.0312,0.0312,48
JVASP-98812,0.1185,0.1185,40
JVASP-86104,0.1619,0.1619,15
JVASP-47967,0.1275,0.1275,10
JVASP-14619,0.0,0.0,1
JVASP-85928,0.0001,0.0001,16
JVASP-18513,0.1703,0.1703,4
JVASP-90585,0.0233,0.0233,8
JVASP-48390,0.1768,0.1768,14
JVASP-43529,0.089,0.089,20
JVASP-47769,0.069,0.069,19
JVASP-64915,0.4337,0.4337,4
JVASP-64332,0.728,0.728,6
JVASP-88716,0.0,0.0,34
JVASP-64263,0.8232,0.8232,6
JVASP-29231,0.0,0.0,37
JVASP-64683,0.9009,0.9009,6
JVASP-63925,0.9672,0.9672,6
JVASP-64056,0.4239,0.4239,3
JVASP-53444,0.011,0.011,10
JVASP-65031,0.6381,0.6381,6
JVASP-64610,0.8731,0.8731,6
JVASP-64390,0.9549,0.9549,6
JVASP-85862,0.0,0.0,12
JVASP-64104,1.29,1.29,6
JVASP-14790,0.0545,0.0545,2
JVASP-15261,0.0,0.0,8
JVASP-86579,0.1422,0.1422,13
JVASP-37034,0.2217,0.2217,4
JVASP-98092,0.0,0.0,28
JVASP-22645,0.0007,0.0007,7
JVASP-65066,1.5929,1.5929,6
JVASP-97625,0.0,0.0,24
JVASP-37050,0.1752,0.1752,4
JVASP-37036,0.1045,0.1045,4
JVASP-37190,0.0376,0.0376,4
JVASP-41448,0.1227,0.1227,4
JVASP-26,0.0,0.0,4
JVASP-37314,0.0557,0.0557,5
JVASP-86900,0.4478,0.4478,14
JVASP-87209,0.0282,0.0282,20
JVASP-29226,0.027,0.027,22
JVASP-86323,0.0085,0.0085,6
JVASP-89970,0.0112,0.0112,9
JVASP-91849,0.1316,0.1316,8
JVASP-98356,0.0,0.0,76
JVASP-15734,0.0,0.0,8
JVASP-38326,0.5756,0.5756,5
JVASP-37208,0.6642,0.6642,5
JVASP-98176,0.0,0.0,4
JVASP-48167,0.1505,0.1505,12
JVASP-38310,0.3884,0.3884,5
JVASP-64726,0.8028,0.8028,6
JVASP-98802,0.0,0.0,44
JVASP-50761,0.0176,0.0176,20
JVASP-86443,0.0,0.0,13
JVASP-88712,0.0596,0.0596,24
JVASP-49837,0.1055,0.1055,20
JVASP-48923,0.0,0.0,12
JVASP-91565,0.0117,0.0117,8
JVASP-91940,0.0915,0.0915,8
JVASP-38314,0.1543,0.1543,5
JVASP-52478,0.1095,0.1095,22
JVASP-16139,0.0,0.0,4
JVASP-63959,0.8211,0.8211,6
JVASP-64048,1.3903,1.3903,6
JVASP-64948,0.4245,0.4245,4
JVASP-38201,0.0,0.0,4
JVASP-97855,0.0,0.0,24
JVASP-52548,0.0456,0.0456,14
JVASP-88010,0.0,0.0,22
JVASP-91747,0.0251,0.0251,8
JVASP-52342,0.0601,0.0601,12
JVASP-38246,0.0833,0.0833,4
JVASP-48649,0.0184,0.0184,24
JVASP-97432,0.0,0.0,16
JVASP-15811,0.047,0.047,6
JVASP-98295,0.6432,0.6432,14
JVASP-48577,0.1171,0.1171,10
JVASP-91795,1.068,1.068,8
JVASP-39287,0.0,0.0,4
JVASP-37056,0.2994,0.2994,4
JVASP-86206,0.2979,0.2979,16
JVASP-91990,0.0,0.0,8
JVASP-12124,0.0256,0.0256,18
JVASP-15113,0.0,0.0,9
JVASP-86028,0.0082,0.0082,18
JVASP-28637,0.0885,0.0885,12
JVASP-86275,0.0,0.0,12
JVASP-42805,0.0295,0.0295,18
JVASP-97680,0.0,0.0,24
JVASP-42301,0.0877,0.0877,20
JVASP-38483,0.0003,0.0003,4
JVASP-97383,0.02,0.02,30
JVASP-85666,0.0223,0.0223,13
JVASP-65024,0.7111,0.7111,6
JVASP-85272,0.6441,0.6441,7
JVASP-38319,0.4468,0.4468,5
JVASP-85558,0.0332,0.0332,8
JVASP-48311,0.0818,0.0818,12
JVASP-86155,0.0103,0.0103,16
JVASP-50399,0.0566,0.0566,25
JVASP-16081,0.0,0.0,1
JVASP-49950,0.0018,0.0018,24
JVASP-107738,0.0,0.0,6
JVASP-90769,0.0826,0.0826,8
JVASP-42541,0.091,0.091,15
JVASP-88522,0.1689,0.1689,22
JVASP-85786,1.4997,1.4997,12
JVASP-98719,0.0,0.0,20
JVASP-48233,0.0471,0.0471,19
JVASP-89267,0.0227,0.0227,12
JVASP-85714,0.3315,0.3315,6
JVASP-98039,0.0,0.0,32
JVASP-85366,0.167,0.167,16
JVASP-98935,0.0095,0.0095,48
JVASP-42722,0.1555,0.1555,10
JVASP-42222,0.0002,0.0002,24
JVASP-38614,0.4588,0.4588,5
JVASP-22722,0.004,0.004,16
JVASP-86679,0.0,0.0,10
JVASP-64133,0.9774,0.9774,6
JVASP-90169,0.0,0.0,9
JVASP-64910,0.5834,0.5834,4
JVASP-63917,0.9472,0.9472,6
JVASP-14998,0.0,0.0,3
JVASP-15432,0.0,0.0,9
JVASP-3489,0.0,0.0,8
JVASP-97503,0.0139,0.0139,56
JVASP-28964,0.1569,0.1569,12
JVASP-14915,0.0,0.0,1
JVASP-64008,0.9963,0.9963,6
JVASP-37046,0.2241,0.2241,4
JVASP-87905,0.0,0.0,44
JVASP-38764,0.0,0.0,4
JVASP-98448,0.0171,0.0171,32
JVASP-88123,0.1168,0.1168,36
JVASP-91891,0.1399,0.1399,8
JVASP-64588,0.6412,0.6412,6
JVASP-38283,0.4359,0.4359,5
JVASP-37407,0.636,0.636,5
JVASP-14958,0.2985,0.2985,2
JVASP-37424,0.9255,0.9255,9
JVASP-36897,0.0905,0.0905,5
JVASP-90431,0.273,0.273,8
JVASP-48095,0.0388,0.0388,18
JVASP-589,0.0185,0.0185,3
JVASP-63969,0.8495,0.8495,6
JVASP-98363,0.0,0.0,30
JVASP-98301,0.4558,0.4558,36
JVASP-43030,0.1338,0.1338,6
JVASP-64462,0.8792,0.8792,6
JVASP-88159,0.0,0.0,36
JVASP-3753,0.0385,0.0385,6
JVASP-87334,0.0374,0.0374,56
JVASP-97633,0.0,0.0,38
JVASP-89905,0.0,0.0,9
JVASP-107743,0.0,0.0,4
JVASP-86978,0.1005,0.1005,13
JVASP-97506,0.1136,0.1136,22
JVASP-90438,0.241,0.241,8
JVASP-97342,0.0,0.0,36
JVASP-90539,0.0001,0.0001,8
JVASP-91612,0.6594,0.6594,8
JVASP-91750,0.0,0.0,8
JVASP-91993,0.0,0.0,8
JVASP-64544,0.8123,0.8123,6
JVASP-64803,1.2499,1.2499,6
JVASP-64203,0.7815,0.7815,6
JVASP-64878,0.4646,0.4646,4
JVASP-3657,0.0,0.0,9
JVASP-65073,0.8997,0.8997,6
JVASP-98620,0.0961,0.0961,36
JVASP-15389,0.0,0.0,5
JVASP-89977,0.0,0.0,9
JVASP-97998,0.0,0.0,32
JVASP-91944,0.1478,0.1478,8
JVASP-90631,0.0191,0.0191,8
JVASP-91852,0.0059,0.0059,8
JVASP-53082,0.1108,0.1108,4
JVASP-97390,0.0,0.0,24
JVASP-50695,0.0401,0.0401,20
JVASP-64017,1.3325,1.3325,6
JVASP-48653,0.0184,0.0184,24
JVASP-98046,0.0,0.0,46
JVASP-50404,0.0394,0.0394,25
JVASP-90046,0.0224,0.0224,9
